,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,小区介绍,周边配套,税费解析,用水类型,用电类型,燃气价格,户型介绍,适宜人群,装修描述,售房详情,交通出行,别墅类型,权属抵押
0,['欣盛东方郡西区'],滨江-滨江区政府,120.218825,30.203884,930,69053,提前预约随时可看,103117810968,4,3室2厅1厨2卫,中楼层 (共18层),134.68㎡,平层,109.14㎡,板塔结合,南 北,钢混结构,精装,四梯两户,有,2021-10-26,商品房,2011-07-18,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,211024MV287538,"
                    东边套，户型南北通双阳台，自住精装，满五年，中间楼层
                  ","
                    东方郡西区建成于2010年，2011年交付，小区共19栋，住户1563户，小区地下车位990个，加上地上机动车位可达到1：1，小区是欣盛开发，龙湖物业，物业费2.65包含能耗
                  ","
                    小区位于区政府板块，配套完善，距离小区500米是中赢国际综合体，南面有200米中赢康康谷综合体，1000米处有星光大道步行街，2000米内有市武警医院，大型商场百货大楼，各种服装店，多家银行等，吃喝玩乐一体化。距离钱塘江观景平台不到2公里
                  ","
                    业主一手买进，目前早已满五年，名下非此一套。所以税费是：契税（首套1.5%，二套2%）+个税1%。
                  ","
                    小区距离地铁一号线约500米（高德地图），公交路线有175路，300路，195路，出行方便！
                  ",,,,,,,,,,
1,['铂金时代公寓'],滨江-滨江区政府,120.223773,30.201048,765,55423,下班后可看,103117801479,7,3室2厅1厨2卫,低楼层 (共30层),138.03㎡,平层,105.08㎡,板塔结合,南 北,砖混结构,精装,三梯三户,有,2021-10-26,商品房,2012-05-04,普通住宅,满五年,共有,"
                                有抵押 业主自还
                              ",已上传房本照片,211026HO422693,"
                    此房满五年 自住精装修 有车位 可拎包入住 
                  ","
                    本小区09年建成，位于滨江区政府板块，东依江陵路，西靠春晓路，南临滨兴路，北至江汉路，地铁1号线滨和站，与江南实验隔路相望。由8幢高层、小高层组成。环境优美。西边是康康谷，吃喝玩乐健身各种休闲娱乐一体
                  ","
                    公交：K195路（滨河路站）438米、k300路（春晓路滨河路口）573米、B支6（江汉路江晖路口）472米、K96（江汉东路站）146米 地铁：离滨和路站575米(1号线)、江陵路站1.6公里(1号线)
                  ",,,,,,,,,,,,
2,['星耀城'],滨江-滨江区政府,120.221367,30.219193,225,34611,提前预约随时可看,103108527621,104,3室1厅1厨2卫,低楼层 (共20层),65.01㎡,暂无数据,44.95㎡,板塔结合,西南,钢混结构,精装,四梯二十四户,有,2020-04-12,商品房,2015-04-02,商住两用,满五年,共有,"
                                无抵押
                              ",已上传房本照片,200415534774,"
                    1号线地铁精装修LOFT户型高档公寓 带阳台 交通便利 生活齐全
                  ","
                    2014年开发商统一精装修，可直接拎包入住，客厅挑空，带阳台自住舒适。
                  ",,,,商水,商电,3.1元/m3,"
                    本房地理位置优越，高品质，开发商精装，适合年轻上班或者独立自住职业人士
                  ","
                    地铁1号线和6号线江陵站，比邻江南大道，过三桥、四桥和望江隧道十分方便，萧山国际机场也可机场快速直达。
                  ",,,,,
3,['中赢康康谷'],滨江-滨江区政府,120.22064,30.20214,148,31835,提前预约随时可看,103117403346,18,2室2厅1厨2卫,低楼层 (共18层),46.49㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯三十一户,有,2021-09-28,商品房,2018-12-30,商住两用,满两年,共有,"
                                无抵押
                              ",已上传房本照片,210928XQ417249,"
                    loft结构，民用电，带阳台，精装修，交通购物便利，实际使用.
                  ","
                    小区楼下购物方便，夜市生活丰富，另外小区北面有星光大道综合商体，星耀城综合体和滨江龙湖天街商综合体，生活配套齐全；北面1.5公里是滨江区的武警医院，另外还有浙二医院配套
                  ",,"
                    
功能齐全，既节省了资金，也可以保证住户的生活质量，配套设施完善，客户拎包即可入住，十分方便。
                  ",,民水,民电,3.1元/m3,,,"
                    
小区附 近500米为滨和路地铁口，出行便利，另外门口就是公交车站
                  ",,,,
4,['玲珑府'],滨江-西兴,120.232076,30.189648,130,26461,提前预约随时可看,103117598758,11,2室1厅1厨2卫,中楼层 (共21层),49.13㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,三梯十九户,有,2021-10-12,商品房,2018-05-16,商住两用,满两年,非共有,"
                                有抵押 34万元 招商银行 业主自还
                              ",已上传房本照片,181112164018,"
                    龙湖天街旁 地铁200米 层高4.8米两层LOFT 业主诚心卖
                  ","
                    小区为2015年建成的小区，开发商为杭州众联置业有限公司打造的，总建筑面积约16万平方米，北区为70年产权住宅区，南区为综合多元的配套区，精装SOHO公馆、时尚广场等多种产品类型步行约500米即可到达地铁一号线五号线滨康站
                  ","
                    联华，西兴农贸市场 银行：建设银行 杭州银行 杭州联合银行 农业银行 邮政银行 交通：1号线西兴地铁站和滨康地铁口 医疗：武警医院 滨江医院 浙江儿童医院。


                  ","
                    步行约500米即可到达地铁一号线滨康地铁口，公交:300路(城站火车站-西兴路滨康路口-杭州火车南站，下车即是)、301路(武林小广场-滨康路东-杭州火车南站)、315路(望江东路-滨康路东-萧绍路)、368路(滨盛公交站-滨康路东-衙前公交站)，出行方便。


                  ",,商水,民电,3.1元/m3,,,,,,,
5,['南都江滨花园'],滨江-彩虹城,120.16877191577,30.192949246507,650,54073,提前预约随时可看,103117475466,16,3室2厅1厨2卫,中楼层 (共5层),120.21㎡,平层,106.42㎡,板楼,南,钢混结构,精装,一梯两户,无,2021-10-03,商品房,2009-05-31,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,211003GX663817,"
                    近地铁，楼层好，带露台，户型方正，诚心出售，看房方便！
                  ","
                    此房多层，得房率高，而且南北都有大阳台，种花菜 怡人舒心 、当然更适合改善家庭三代人居住之家。公摊小，实际使用面积大，自住较为舒适，三房户型可以住三代同堂，一家老小也不局促的
                  ",,"
                    公交:113路空调 K676路内环空调 B支6路空调 K676路外环空调 527路K527路 315路 B支3路 K212路夜间外环空调 K225路夜间车外环空调 K226路夜间车外环空调
                  ",,,,,,"
                    位于滨盛路火炬大道交叉口（钱塘江边）、配套齐全、有大型 商场、儿保、银行、配套设施、江南大道出行方便、多条公交线路
                  ",,,,,
6,['仁苑'],滨江-长河,120.18490169545,30.198504566139,600,46795,下班后可看,103117475136,3,3室2厅1厨1卫,低楼层 (共18层),128.22㎡,平层,100.22㎡,板楼,南,混合结构,精装,两梯两户,有,2021-10-03,商品房,2017-03-10,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,211013OI406159,"
                    此房满五年，税费少，南北通楼，楼层好，精装修，提前约随时可看
                  ","
                    装修清爽，2016年开始装修，保养得很好，储物空间都是实木定做的，带大金空调
                  ",,,,,,,,,"
                    小区北门门口滨盛路20米处有公交站台，南门200米有江南大道地铁6号线建业路站，距离彩虹快速路入口800米
                  ",,,,
7,['半岛国际'],滨江-长河,120.199911,30.207798,520,59246,提前预约随时可看,103117669836,22,3室1厅1厨2卫,高楼层 (共28层),87.77㎡,平层,暂无数据,板楼,南 北,框架结构,精装,两梯四户,有,2021-10-16,商品房,2017-08-28,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,211016SQ675767,"
                    次房户型方正   南北通透  装修干净清爽  看房方便
                  ","
                    小区天阳开发商开发，物业由天阳物业管理 2，小区一共8幢房子，三水围绕，成半岛之型
                  ","
                    商场： 龙湖天街、宝龙广场、星光大道卖场、第六空间大都会；医院：浙医二院滨江医院、武警医院、长河妇保医院； 浙江省级机关武林门幼儿园、白金海岸幼儿园。小区底商满足基本生活需求，餐饮、华联、药店等，生活所需一应俱齐
                  ","
                    小区门口就是滨盛路长河路口公交站，13路172路195路355路368路b支3路途经此站点；距离江南大道600米左右，四通八达，开车出行方便，距离复兴大桥900米左右，去往主城区方便，5号线地铁长河站，地铁口，交通十分发达
                  ",,,,,,,,,,,
8,['东方商务会馆'],滨江-长河,120.223916,30.194869,79,29789,提前预约随时可看,103117781768,3,1室1厅1厨1卫,高楼层 (共16层),26.52㎡,暂无数据,19.58㎡,板塔结合,东北,钢混结构,精装,五梯四十一户,有,2021-10-24,商品房,2011-06-16,商住两用,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210330YE032814,,,,,,商水,民电,,,,,,,,
9,['官河公寓'],滨江-西兴,120.23630061849,30.194537340185,264,31613,提前预约随时可看,103113067187,81,3室1厅1厨1卫,高楼层 (共6层),83.51㎡,平层,暂无数据,板塔结合,南,混合结构,简装,一梯两户,无,2021-01-15,商品房,2014-03-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210116JY896086,"
                    满五年唯一总价低，紧凑三房，读书近，地铁近
                  ","
                    东边有风情大道，南边步行可达滨康站（1号线和5号线交汇站）和正在建设的天街商场，北面银泰城已经交付 地铁，医院，电影院一应俱全，足可以享受到优良的城市体验，方正格局，读书一街之隔，立体交通无缝对接，均价低飒
                  ",,"
                    公交：K195路、317路、352路、501路、520路、K581路 地铁：西兴站(1号线)、滨和路站(1号线)、江陵路站(1号线）
                  ",,,,,,,,,,,
