,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,周边配套,小区介绍,户型介绍,适宜人群,装修描述,用水类型,用电类型,售房详情,交通出行,税费解析,燃气价格,权属抵押,别墅类型
0,['名城燕园'],拱墅-桥西,120.140405,30.317139,750,49772,提前预约随时可看,103117837793,3,4室2厅1厨2卫,高楼层 (共11层),150.69㎡,平层,125.96㎡,板楼,南,钢混结构,精装,一梯两户,有,2021-10-28,商品房,2010-11-18,普通住宅,满五年,非共有,"
                                有抵押 80万元
                              ",已上传房本照片,211029CZ745796	,"
                    业主诚心出售，户型正气，标准的大四居室


                  ","
                    小区门口100米就是工商银行，世纪联合，500米就是台湾美食街，小河直街.吃喝玩乐都有（米数来源百度地图），东邻京杭大运河，北望LOFT文化公园与运河文化广场隔河相望，杭州市第二医院 拱墅区中医院 拱墅区第二人民医院等 小河直街 桥西历史文化街区 ..


                  ","
                    有多路公交（185.70.79.63.1）可直达火车东站，汽车西站，汽车北站，武林广场等地，出行很方便


                  ",,,,,,,,,,,,
1,['朝晖四区'],拱墅-朝晖,120.1777,30.2914,220,33841,提前预约随时可看,103117710969,28,3室1厅1厨1卫,中楼层 (共7层),65.01㎡,平层,55.95㎡,板楼,东南,砖混结构,简装,一梯两户,无,2021-10-19,已购公房,2014-09-24,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,190827849492,"
                    满五年，上塘河边，安静舒适三房，户型方正
                  ","
                    朝晖四区位于省人民医院后面，上塘河的西面，已做外包新，平改坡。
                  ","
                    距此房300米内有朝晖四区（公交站）、朝晖六区（公交站）等等，线路有1014路、3路、6路、78路、90路等；小区到打铁关（地铁站）约800米，小区到西湖文化广场（地铁站）约1200米
                  ","
                    所在位置繁华，地处朝晖，省人民医院，市儿童医院，工商银行，朝晖公园，世纪联华，生活便利，东边有条上塘河，风景好
                  ",,,,,,,,,,,
2,['嘉泰馨庭'],拱墅-桥西,120.138961,30.319989,650,59269,只周末可看,103117703219,7,3室2厅1厨2卫,高楼层 (共18层),109.67㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,2021-10-19,商品房,2016-11-04,普通住宅,满两年,非共有,"
                                有抵押 120万元 中国银行 业主自还
                              ",已上传房本照片,211020HL927230,"
                    此房满五年 免增值税 东边套 全明户型 采光视野好
                  ","
                    总建筑面积约10万余平方米，东邻京杭大运河，北望LOFT文化公园与运河文化广场隔河相望，由9幢板式高层住宅、小高层住宅、LOFT公寓组成
                  ","
                    有多路公交（185.70.79.63.1）可直达火车东站，汽车西站，汽车北站，武林广场等地，距离地铁5号线大运河站550米，出行很方便（米数来源于高德地图）
                  ","
                    小区门口100米就是工商银行，世纪联华，500米就是台湾美食街，小河直街，D32综合广场.吃喝玩乐都有（米数来源高德地图）
                  ",,,,,,,,,,,
3,['清水公寓'],拱墅-德胜,120.158792,30.299906,678,51947,提前预约随时可看,103117710534,7,3室1厅1厨2卫,中楼层 (共11层),130.52㎡,平层,109.85㎡,板楼,南,钢混结构,简装,一梯两户,有,2021-10-19,商品房,2005-03-11,普通住宅,满五年,共有,"
                                有抵押 289万元 业主自还
                              ",已上传房本照片,211019BV882526,"
                    
此房满五不唯一，没有增值税，绿城物业，拎包入住
                  ","
                    
清水公寓位于杭州市德胜路北侧，西邻京杭大运河和霞湾公园。依托于运河、沿河绿化带和霞湾公园，为1200余户清水公寓家庭营造了一方悠然、怡然、自然的 生活天地。清水公寓占地180余亩，总建筑面积20余万平方米，小区由多层、电梯公寓和排屋组成
                  ","
                    东粮泊巷站公交：41路，43路，75路，82路，90路，215路，8209路。德胜新村站公交：3路，12路，12路清波门区间，26路，33路，46路，78路，80路，82路，183路，198路，274路，276路，338路，8209路。
                  ","
                    
菜场：德胜菜场，长板巷菜场。公交：东粮泊巷站，德胜新村站。医院：浙江省人民医院，杭州市新华医院。购物：水晶城购物广场，乐堤港购物广场，华润万家，欧尚（上塘路店）。
                  ",,,,,,,,,,,
4,['滨江锦绣之城'],拱墅-和睦,120.134124,30.310435,1199,91991,提前预约随时可看,103117797426,17,4室2厅1厨2卫,中楼层 (共31层),130.34㎡,平层,暂无数据,板塔结合,南 北,钢结构,精装,两梯两户,有,2021-10-25,商品房,2019-04-04,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,211019RS895771,"
                    
滨江品质，精装交付，次新房，10号线隐秀站，大悦城一路之隔
                  ","
                    滨江锦绣之城，继滨江华家池之后，滨江第3代精装大宅又一经典作品，全新升级昭世。105-180方（建筑面积）纯优改善住品，凝练“精致、舒适、实用”设计精粹，充分满足市区人士的优雅尺度。
                  ","
                    
小区50米（数据来源百度地图）处，就有地铁10号线隐秀路站（在建中，预计2021年年底完工）公交58路（隐秀路郡庭路路口）公交，153路 155路K155路 15路 188路 204路 227路 348路 67路 70路 70路区间 90路 93路 B支1路都进过楼下的公交站。
                  ","
                    2018年房龄，4房2厅2卫，2房朝南，2房朝北，客厅朝南，2个阳台，法式装修风格
                  ","
                    此房四房户型 适合二孩家庭 或者改善三口之家 亦或是追求品质的家庭
                  ","
                    成熟配套齐全，万象繁华举步即达，家门口的全球第八座大悦城、城西银泰商圈、蓝孔雀综合体、桥西运河天地、物美大卖场、园区内的新贵会所，让财富享受到悠闲的娱乐时光。
                  ",,,,,,,,,
5,['和睦新村'],拱墅-和睦,120.130145,30.315526,235,42198,提前预约随时可看,103117828815,6,2室1厅1厨1卫,低楼层 (共6层),55.69㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,2021-10-27,已购公房,2017-08-24,普通住宅,满两年,共有,"
                                有抵押 90万元 工商 业主自还
                              ",已上传房本照片,170714932552,"
                    一梯两户，两开间朝南，精装修，带大院子
                  ","
                    建成已有近二十年。物业地址： 拱墅区莫干山路，登云路交叉口和睦新村。物业费：100元一年卫生费，无物业费。小区共54幢房子，全是多层住宅，一梯三户占比50%以上，面积在40-60方之间，房改房，小区内有一个和睦公园，绿化做的比较好
                  ","
                    自住精装修。于2020年3月装修，业主从事专修工作，专修花了20多万，也花了很多心思、时间，包括每一块地板、瓷砖都是自己挑选的。不用担心甲醛什么，业主有两个小孩
                  ","
                    位于莫干山路和登云路交叉口，距离汽车北站仅1.3公里。交通十分便利，有商场，物美 联华 ，杭州大悦城 ，城西银泰，综合体有蓝钻天成，小区内设有和睦幼儿园、小 学、中 学，和睦医院、和睦派出所，还有和睦公园，老人小孩均适宜居住
                  ",,,,,,,,,,,
6,['大家绿城金麟府'],拱墅-拱宸桥,120.15399,30.329428,1150,81365,提前预约随时可看,103117629213,18,4室1厅1厨2卫,高楼层 (共24层),141.34㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,2021-10-13,商品房,2019-10-17,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,211016BF681821,"
                    
绿城品质，东边套 四室精装大阳台，近地铁五号线
                  ","
                    四室两厅两卫大户型，畅通明亮户型，东边套大阳台，高楼层采光视野好，房屋精装交付，两梯两户，朝北阳台直连消防通道
                  ","
                    
地铁五号线拱宸桥东站，定海新村(151路(电车) 198路 342路 23路 33路 47路 61路 69路 95路 220路 251路 通勤线(谢村-汽车西站) 403路)、 湖州街上塘路口(48路 63路 95路 129路 209路 63路快)
                  ",,"
                    
尊享拱宸桥一千米生活圈：运河上街、联华（地下）、运河历史文化广场、农贸市场、市二医院、各大银行、百瑞运河大饭店等.... 配套齐全，交通便利。北邻运河广场东邻运河，景观得天独厚
                  ",,,,,,,,,,
7,['新华坊社区'],拱墅-丝绸城,120.184026,30.272189,390,42740,提前预约随时可看,103117541578,28,3室2厅1厨1卫,高楼层 (共7层),91.25㎡,平层,82.12㎡,板塔结合,南 北,钢混结构,简装,一梯两户,有,2021-10-08,商品房,2009-07-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,211009SJ009614,"
                    满五唯一 电梯房 双地铁口 1梯2户 全明 带阁楼储藏间 
                  ","
                    小区地处凤起路，有绿化，有小的公园，环境幽静，适宜居住，方便饭后散步，遛狗。
                  ",,"
                    电梯房，1梯2户，全明3房2厅，2南1北，全明客厅朝南，客餐厅分开，卫干湿分离，有阁楼，储藏间，南北通透，采光充足
                  ","
                    2号5号线地铁口，门口就是公交站，门口就是各大银行，新华路菜场，各种水果摊，配套齐全，出行方便，生活便利。
                  ",,,,,,,,,,
8,['中国铁建国际城'],拱墅-拱宸桥,120.16589,30.335668,1200,57466,提前预约随时可看,103117413659,15,5室2厅1厨4卫,高楼层 (共24层),208.82㎡,复式,166.12㎡,板塔结合,南 西 北,钢混结构,毛坯,两梯三户,有,2021-09-29,商品房,2019-10-31,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,210907LK303647,"
                    东边套大跃层  河景房 有露台 可烧烤 可聚会
                  ","
                    小区商品房性质 央企中铁开发商，小区一共19幢房子 ，体量大，其中1—15幢为住宅，另外16-19幢为公寓。楼房外立面皆为干挂石材面料，美观环境好，绿化好，人车分离 ，管理放心。
                  ",,"
                    小区内有CHAO市 小区后面有联华CHAO市，有一鸣酸奶 太阳城综合体 饭店 足浴 满足日常生活需求 。菜场 水果店早餐店在隽逸花苑南大门门口 和这个小区是紧挨着的，距离小区1公里范围内有中大银泰城，购物方便。旁边有热水港河 边上是浙江大学城市学院
                  ",,,,,,,,,,,
9,['东方福邸'],拱墅-申花,120.118229,30.312724,1700,76691,提前预约随时可看,103116834484,62,5室2厅1厨4卫,低楼层 (共24层),221.67㎡,平层,173.13㎡,塔楼,南 北,钢混结构,精装,两梯两户,有,2021-08-26,商品房,2015-09-29,普通住宅,满五年,共有,"
                                有抵押 100万元
                              ",已上传房本照片,210827NP736854,"
                    此房满五年，中间楼层，位于小区中间位置，俯瞰小区花园，视野好
                  ","
                    占地面积：113776㎡ 建筑面积：295817㎡， 户 数：1947户。 开 发 商：杭州欣盛嘉业房地产开发有限公司；物业公司：杭州南都物业管理公司。欣盛倾力打造的城西精品住宅楼盘，一共22幢，以改善型大面积为主。
                  ","
                    开发商精装，装修标准：7000元/平，厨房三件套加嵌入式定制双门进口冰箱，橱柜嵌入式咖啡机，微波炉，洗碗机，净水器，厨房垃圾处理器，烤箱，卫生间进口洁具，日本TOTO智能全自动坐便器，室内层高3.1米，全屋配了进口地暖，中养空调，新风系统一应俱全。
                  ","
                    内部配套：一期游泳池、二期景观池凉亭休憩等配套：城西银泰城、中粮大悦城，和睦地铁站世纪联华购物，物美莫干山路店等景观：京杭运河交通：医院：省立同德医院。
                  ",,,"
                    5号线萍水街站，2号线三坝站，10号线预计年底开通，公交车西门、北门都有停站点乘坐。
                  ",,,,,,,,
