,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,套内面积,房屋朝向,建筑结构,装修情况,别墅类型,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,适宜人群,周边配套,户型结构,建筑类型,梯户比例,配备电梯,小区介绍,税费解析,交通出行,售房详情,装修描述,权属抵押,用水类型,用电类型,房源核验统一编码,查询房管备案记录,燃气价格
0,['筑境花园'],临安-临安,119.73700494332,30.254474484172,430,18898,提前预约随时可看,103117713795,1,6室2厅1厨3卫,低楼层 (共3层),227.54㎡,218.73㎡,东 南,混合结构,毛坯,联排,2021-10-19,商品房,2019-03-11,别墅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    面积不大 ，总价不高，距离地铁近，南北两个综合体
                  ","
                    
房子实用面积大，上下有四层，比较方正的户型，每层都带卫生间，装修好比较实用的户型
                  ","
                    房屋距离农林大学近，学习氛围好，教育环境好，有助于培养孩子的学习气氛
                  ","
                    
距离地铁近，南北直线距离八百米有两个综合体，距离青山湖绿岛、新中医院近！
                  ",,,,,,,,,,,,,,,
1,['星汇花园'],临安-青山湖科技城,119.827586,30.268679,220,18966,提前预约随时可看,103117509986,17,3室2厅1厨2卫,低楼层 (共32层),116㎡,92.01㎡,南 北,钢混结构,毛坯,,2021-10-06,商品房,2017-01-23,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房可等满五，诚心出售  价格可谈 

                  ","
                    此房为大三房双阳台，边套户型，主卧次卧朝南 楼层适中，视野好，小区绿化高         
                  ",,,平层,板楼,两梯四户,有,"
                    广州越秀房地产开发有限公司开发，小区24小时保安巡逻，楼间距宽，绿化高
                  ","
                    此房满二，没有增值税
首套个税1% 契税1.5%
二套个税1% 契税2.0%
                  ",,,,,,,,,
2,['星汇花园'],临安-青山湖科技城,119.827586,30.268679,285,20363,提前预约随时可看,103117809699,0,3室1厅1厨2卫,中楼层 (共32层),139.96㎡,暂无数据,南 北,钢混结构,毛坯,,2021-10-26,商品房,2016-11-08,普通住宅,满两年,共有,"
                                有抵押 35万元 交通银行
                              ",已上传房本照片,"
                    此房满2年，楼层好，采光好，河景房。
                  ","
                    此房为三房一厅二卫户型，二房朝南，有一个卧室朝北，双阳台，南北通透夹边套
                  ",,,平层,板楼,两梯三户,有,"
                    开发商：越秀地产。 小区环境：绿化不错，自带游泳池，健身会所。 物业：越秀物业，每一幢楼都有管家，给业主贴心的服务。 安保设施：小区岗亭有安保员24小时站岗，保障居民安全
                  ",,,,,,,,,,
3,['星汇花园'],临安-青山湖科技城,119.827586,30.268679,268,19149,有租户需预约,103117843737,2,3室2厅1厨2卫,中楼层 (共32层),139.96㎡,暂无数据,西南,钢混结构,简装,,2021-10-28,商品房,2017-03-20,普通住宅,满两年,共有,"
                                有抵押 60万元
                              ",已上传房本照片,"
                    
房东诚心出售 大三房 好楼层 采光视野无遮挡
                  ",,,,平层,板楼,两梯三户,有,"
                    
开发商：越秀地产。 小区环境：绿化不错，自带游泳池，健身会所。 物业：越秀物业，每一幢楼都有管家，给业主贴心的服务。 安保设施：小区岗亭有安保员24小时站岗，保障居民安全
                  ",,"
                    
K31/37/465/599公交、科技大道、地铁16号线 杭瑞高速和02省道可到临安、余杭、杭州
                  ",,,,,,,,
4,['钱锦花园'],临安-临安,119.75737273414,30.234141883784,148.9,15999,提前预约随时可看,103117747708,4,3室2厅1厨1卫,低楼层 (共22层),93.07㎡,67.06㎡,南,钢混结构,毛坯,,2021-10-22,商品房,2017-04-25,普通住宅,满两年,共有,"
                                有抵押 50万元
                              ",已上传房本照片,"
                    房屋满四年无增值税，户型方正  格局实用
                  ",,"
                    房屋户型是三房一卫，总价也不高，距离青山湖也很@@@近，闹中取静的位置，适宜各个段的家庭居住，
                  ",,平层,板楼,两梯三户,有,,"
                    房屋已经满4年无增值税，需要缴纳1%的个税，客户根据家庭名下几套房计算契税税率，首套1.5%   二套2%  三套3%
                  ",,"
                    房东当时买房是因为亲戚在临安，而且对临安大力推荐，环境好，生态好，空气好，他买了准备做平时度假用，后来因疫情原因，一直无法过来安排装修等问题，现在也想在上海重新置换，所以决定把临安的房出售了。
                  ",,,,,,,
5,['临水路78-86号'],临安-临安,119.72862552284,30.240912277486,75,16667,提前预约随时可看,103117831684,0,2室1厅1厨1卫,中楼层 (共6层),45㎡,45㎡,南 北,框架结构,简装,,2021-10-28,商品房,2019-07-01,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    户型方正，交通、生活便利，住宅性质...........
                  ",,,"
                    离人民医院100米（百度地图），离菜场300米（百度地图），离教育300米（百度地图
                  ",平层,板楼,一梯四户,无,,"
                    房屋满2年了，名下不唯一，税费有缘人可以协商！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
                  ","
                    小区位置优越，处于闹市，有多路公交车，配套齐全..................
                  ",,,,,,,,
6,['大园新城南区'],临安-青山湖科技城,119.836305,30.259067,188,24611,提前预约随时可看,103117771935,0,2室1厅1厨1卫,低楼层 (共26层),76.39㎡,76.39㎡,南,钢混结构,毛坯,,2021-10-24,商品房,2018-02-11,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    中间楼层 采光好，户型方正，地铁口近
                  ",,,"
                    
小区内自带幼儿园，农贸市场附件，距离青山湖农贸市场1.2公里，主要商户也集中在这边，可以满足日常生活所需，小区出门底商基本也可以满足日常所需
                  ",平层,板楼,两梯四户,有,"
                    小区的主要居住人群以青山湖街道的当地人为主，邻里之间相处和睦，气氛融洽。通过业主了解到，物业工作认真负责，口碑很好，小区干净整洁
                  ",,"
                    
地铁16号线已通车，科技大道快速路，杭瑞高速，329国道，出行方便
                  ",,,,,,,,
7,['临东小区'],临安-临安,119.738198,30.249099,193,15516,提前预约随时可看,103117489519,9,3室2厅1厨2卫,低楼层 (共18层),124.39㎡,暂无数据,南 北,框架结构,精装,,2021-10-04,商品房,2018-03-16,普通住宅,满两年,共有,"
                                有抵押 60万元
                              ",已上传房本照片,"
                    
此房3室2厅2卫户型的格局 ，采光充足，带个露台
                  ",,"
                    
适合利用地铁作为交通工具来往主城区的年轻人。 距离16号地铁线位置突出，总价低，配套齐全
                  ","
                    有40000方商 业体量的宝龙广场，临安区行 政审批中 心。杭州16号地铁线农林大学站
                  ",平层,塔楼,一梯四户,有,,,,,"
                    房东装修自住精装修的，比较干净的，现代风格，采光通风都很好。有个露台的，苕溪边
                  ",,,,,,
8,['碧桂苑'],临安-临安,119.732081,30.25009,155,14388,提前预约随时可看,103117776612,5,4室2厅1厨2卫,中楼层 (共7层),107.73㎡,暂无数据,南,钢混结构,精装,,2021-10-24,商品房,2016-08-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房户型方正，配套设施齐全，交通出行方便
                  ",,,,错层,板楼,一梯两户,无,"
                    小区环境优美，绿化覆盖高，配套设施齐全，后面是农林大 附 小，边上有天阳幼儿园
                  ",,"
                    小区分区街道有公交车站，道路宽敞，停车方便，农林轻轨站直线距离1000米左右
                  ",,,,,,,,
9,['宝龙旭辉城'],临安-青山湖科技城,119.829531,30.263693,249,26462,提前预约随时可看,103117834467,9,3室1厅1厨2卫,中楼层 (共32层),94.1㎡,暂无数据,南,框架结构,毛坯,,2021-10-28,商品房,2021-10-20,普通住宅,未满两年,共有,"
                                有抵押 100万元
                              ",已上传房本照片,"
                    宝龙城 地铁上造 视野开阔 青山湖景 尽收眼底
                  ","
                    此房为刚刚交付 准新房，标准的四室两厅两卫双阳台格局，得房率高。卫生间都是明卫。
                  ",,,平层,板塔结合,两梯四户,有,,"
                    这套房子是70年住宅项目。因刚交付所以不满二年故有增值税5.3%、契税90方以上首套为1.5%、个人所得税1%。
                  ","
                    小区楼下就是青山湖科技城地铁站，地铁上造。地铁站门口有公交车可换乘至杭州或者临安方向，也有公共自己行车，方便出行。
                  ",,,,,,,,
