,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,小区介绍,周边配套,适宜人群,户型介绍,税费解析,装修描述,售房详情,用水类型,用电类型,燃气价格,别墅类型,交通出行,权属抵押
0,['百姓弄小区'],临平区-临平新城,120.30554876877,30.432068406454,128,17129,提前预约随时可看,103116481321,128,2室1厅1厨2卫,低楼层 (共6层),74.73㎡,暂无数据,暂无数据,板楼,南,砖混结构,精装,一梯三户,无,2021-08-06,商品房,1998-01-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,201208QT089144,"
                    房子满五年的，中间楼层，精装修，可直接拎包入住
                  ","
                    小区外里面全部整改过，旁边就是菜场，医院，步行街，生活配套齐全，
                  ","
                    小区出去300米左右就是第五人民医院，一个红绿灯路口就是邱山菜场，世纪华联，生活配套齐全，临平山也就几百米距离
                  ","
                    房子是重新装修过的，全新精装修未入住，房子改成了三房户型，家里父母过来住也不用担心住不下，
                  ",,,,,,,,,,,
1,['艺尚里'],临平区-临平新城,120.306167,30.395989,248,28163,有租户需预约,103117700171,12,3室2厅1厨2卫,中楼层 (共23层),88.06㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2021-10-18,商品房,2019-07-26,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,211019RG897149,"
                    精装修房子，适合自住 离地铁近 视野开阔
                  ","
                    小区是一个 商 业 综合体与住宅相结合的 商 业 生活区，是整个中国艺尚 中 心 的首批住宅。项目南面的就是地铁1号线余杭高铁站、北面就是南苑站，高速余杭出口，方便的往来于杭州、上海。艺尚小镇于2015年6月入选浙江省特色小镇，主攻以服装为主的时尚产业。
                  ","
                    年轻白领：工作出行方便，有地铁和高架，高速，去杭州比较方便 喜欢休闲娱乐：边上是成熟的配套，平时或者周末出去玩比较方便
                  ","
                    
地铁1号线南苑站;公交线路丰富472 (高铁余杭站-新纺路公交站),西梅村站下,步行500米。763 (高铁余杭站-余杭高1级中1学),西梅村站下,步行500米。765 (高铁余杭站-塘湾村) ,西梅村站下,步行500米。
                  ","
                    华元欢乐城，余之城生活广场，莱蒙商 业 中 心，沃尔玛购物广场，八方杰座大厦，新华书店(临平店)，余杭区第1人民医院，杭州市余杭区妇幼保健院，杭州市余杭区中西医结合医院
                  ",,,,,,,,,,
2,['梅堰小区'],临平区-临平新城,120.316876,30.433465,188,21072,提前预约随时可看,103117710190,0,2室1厅1厨1卫,低楼层 (共6层),89.22㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,无,2021-10-19,商品房,2019-10-17,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,210905KN019232,"
                    梅堰小区 操场  庙东菜场   有架空 翻修新小区
                  ","
                    
小区外围正在封闭式管理，也在加装电梯，外围在翻新，小区一共分为好几期，北面就是菜市场，便利店不计其数，生活配套一一齐全，交通十分方便。
                  ","
                    
梅堰小区环境优美，学风淳朴，设施完善，小区自住为主，多为孩子的家长，适合自住带孩子的家庭；
                  ","
                    
此房为老式装修，目前业主简装了一下，买来自住需要从新装修一下入住。
                  ","
                    菜市场，生活购物广场，新天地吃喝玩乐一体化，就在其中，小区位于临平街上，出行十分方便，公交车就在小区里面，X校也在里面，还有更多信息等你来咨询，祝您生活愉快。
                  ",,,,,,,,,,
3,['广厦天都城温莎苑'],临平区-星桥,120.24908937509,30.392840186208,240,27012,提前预约随时可看,103117656566,5,3室2厅1厨2卫,低楼层 (共18层),88.85㎡,平层,70.97㎡,平房,南,钢混结构,精装,两梯三户,有,2021-10-15,商品房,2013-05-20,普通住宅,满五年,非共有,"
                                有抵押 50万元
                              ",已上传房本照片,211015BM594988,"
                    
三室两厅两卫，精典户型，精装修直接拎包入住
                  ","
                    本房户型通透，全明户型，采光不错挺好，楼层很适中，装修舒适清爽
                  ",,,,"
                    
房屋产权：此房为商品房， 税费情况：满五唯一，免增值税，契税1%
                  ","
                    
公交535路、371路、B3快速公交，可达主城区。天都城将开通社区巴士直通地铁站；地铁三号线天都城站已桂花落定，穿天都城而过并设置站点；留石快速、秋石快速、同协路，快速到达武林广场，大关小区一带。
                  ",,,,,,,,
4,['荷花小区'],临平区-东湖,120.298188,30.437346,185,20803,提前预约随时可看,103117634850,12,3室1厅1厨1卫,中楼层 (共6层),88.93㎡,平层,暂无数据,板塔结合,南,混合结构,精装,一梯两户,无,2021-10-14,商品房,2017-09-18,普通住宅,满两年,共有,"
                                有抵押 77万元
                              ",已上传房本照片,181008761924,"
                    户型方正，边套，好楼层，采光好，诚心出售
                  ","
                    小区距离地铁九号线近，自带幼儿园和小公园，小区后面就是临平公园。
                  ","
                    小区后面就是临平公园，以及有一个妇幼保健院，目前地铁九号线已经开通，门口就有菜市场，生活方便。
                  ","
                    门口就有公交车，距离地铁九号线也近，还有望梅路高架，秋实高架，出行方便。
                  ",,,,,,,,,,,
5,['理想康城国际'],临平区-临平新城,120.295514,30.406237,245,27445,提前预约随时可看,103117471474,7,3室2厅1厨1卫,高楼层 (共33层),89.27㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,2021-10-03,商品房,2017-01-07,普通住宅,满两年,共有,"
                                有抵押 25万元 邮储 业主自还
                              ",已上传房本照片,211003EU655646,"
                    高楼层，视野开阔，采光充足，靠谱出售。
                  ","
                    康城国际源自英伦康城的国际化规划理念，采用新风系统、独户采暖、外墙保温，三大系统蕴含国际高 端建筑品质；欧式主题园林，澳洲PLACE名家打造，原生态河景演绎英伦CAM-RIVER风情；小区内还设有儿童娱乐设施，活动中 心，露天泳池，凉亭等生活设施
                  ","
                    水景公园，银泰城，欢乐城都在活动商圈内，此商圈设施完善交通便利，从市区乘坐地铁1号线到临平站下，步行即可到达康城国际，门口公交站k509、k309等等
                  ","
                    小区交通出行方便，门口有公交车站，地铁有一号线临平地铁站，东湖高架,秋石高架。余杭高铁站。
                  ",,,,,,,,,,,
6,['理想康城国际'],临平区-临平新城,120.295514,30.406237,252,28475,提前预约随时可看,103117535976,2,3室2厅1厨1卫,低楼层 (共30层),88.5㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,2021-10-08,商品房,2017-10-26,普通住宅,满两年,共有,"
                                有抵押 40万元
                              ",已上传房本照片,211008PL918449,"
                    三开间朝南，诚心卖，随时可以看房
                  ","
                    康城国际源自英伦康城的国际化规划理念，采用新风系统、独户采暖、外墙保温，三大系统蕴含国际高 端建筑品质；欧式主题园林，澳洲PLACE名家打造，原生态河景演绎英伦CAM-RIVER风情；小区内还设有儿童娱乐设施，活动中 心，露天泳池，凉亭等生活设施

                  ","
                    
综合商场： 银泰城 ，余之城 ，欢乐城，沃尔玛。医院： 余杭区人民医院、余杭区妇幼保健院、余杭区第五人民医院
                  ","
                    出门世纪大道，可直达市区，公交车，共享单车齐全，地铁一号线临平站1.5公里，出行方便！
                  ",,,,,,,,,,,
7,['广厦天都城天澜'],临平区-星桥,120.25720584845,30.384636938644,320,22457,提前预约随时可看,103117481632,4,3室2厅1厨2卫,高楼层 (共23层),142.5㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,2021-10-04,商品房,2018-12-12,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,201212GN460098,"
                    天都城地铁口，全新精装修，拎包入住，高楼层，看房方便
                  ","
                    
天都城独立的生活圈环境好，居住氛围舒适，小区边上就有大润发，麦当劳等，生活出行便捷
                  ","
                    杭州市余杭区星桥街道社会卫生服务、星桥街道万乐社区卫生服务站、星桥农贸市场、勾庄蔬菜批发部 中国建设银行（藕花洲西段）、中国工商银行
                  ","
                    
小区距离地铁3号线天都城站700米左右，535到武林广场，371到大关小区，335到火车东站，345到地铁彭埠站，交通便利！
                  ",,,,,,,,,,,
8,['龙湖香醍溪岸'],临平区-崇贤,120.240169,30.452063,698,29621,提前预约随时可看,103117585365,5,4室2厅1厨3卫,低楼层 (共25层),235.65㎡,平层,190.41㎡,板楼,南,钢混结构,精装,两梯两户,有,2021-10-11,商品房,2016-02-25,普通住宅,满五年,共有,"
                                有抵押 50万元 业主自还
                              ",已上传房本照片,190325751984,"
                    此房满五，西边套大平层，精装修，品牌家具家电，拎包入住
                  ","
                    本小区是龙湖开发商，物业也是龙湖物业，小区人车分流，地下有两层机动停车位。小区规划有合院别墅、观景高层。项目临山而筑，三面环水，尽享chao山风景区自然风光，项目设计有五重园林景观，住区内植有数百年树种
                  ","
                    奥特莱斯商场（在建）、联华chao市、小林村菜市场、余杭区中医院、余杭开发区社区卫生中;心、雅康口腔门诊部、农商银行、中国银行、农村合作银行小林分理处、临平山公园、chao山风景区等
                  ","
                    西边套大平层，精装修，品牌家具家电，拎包入住。4房三卫两厅户型，每个房间都有单独空调，每个房间都有衣柜，主卧还有走入式衣柜，家具家电齐全，可以拎包入住
                  ",,,,"
                    
786公交车从塘栖站到余杭高铁站，途径龙湖，可直达塘栖和余杭高铁站，787公交车从瓶窑到临平汽车北站，也是途径龙湖，望梅高架已经开通，出行方便
                  ",,,,,,,
9,['金世纪红枫苑'],临平区-东湖,120.312154,30.441271,226,20621,提前预约随时可看,103117605437,4,3室1厅1厨1卫,低楼层 (共6层),109.6㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2021-10-12,商品房,2008-05-30,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,190719084242,"
                    精装修 交通便捷，教育医疗方便完善。房子户型正气，适合刚需
                  ","
                    
九曲营步行街，银泰百货，医院，浦发银行，中国农业银行，中国人民银行，大红鹰等
                  ",,"
                    
边上物美，红枫菜场，临平汽车站，大红鹰，银行，医院配套设施都完
                  ",,,,,,,,,,,
