,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,小区介绍,户型介绍,周边配套,装修描述,用水类型,用电类型,售房详情,税费解析,适宜人群,交通出行,燃气价格,别墅类型,权属抵押
0,['保利东湾'],钱塘区-沿江南,120.380441,30.280719,225,24070,提前预约随时可看,103117724666,12,3室2厅1厨2卫,低楼层 (共34层),93.48㎡,平层,69.64㎡,板塔结合,南 北,钢混结构,简装,两梯四户,有,2021-10-20,商品房,2013-05-17,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,181011005441,"
                    保利东湾边套户型，三房两卫，业主诚心卖 主卧带阳台 拎包入住
                  ","
                    
此小区体量比较大，共计22幢房子，此为4期，2梯2户，电梯直接入户的，中间很大的绿化公园，休闲娱乐还是比较不错的
                  ","
                    
小区门口现有公交路线有384、374、298，449.距离江滨地铁口1500米 。沿江大道已经开通


                  ",,,,,,,,,,,,
1,['世茂江滨花园瑞景湾'],钱塘区-沿江南,120.387011,30.287316,251,28228,提前预约随时可看,103117750769,7,3室1厅1厨1卫,低楼层 (共33层),88.92㎡,平层,66.2㎡,板楼,南,钢混结构,精装,两梯四户,有,2021-10-22,商品房,2015-08-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210905LD981822,"
                    
江滨站地铁口 ，中间楼层，精装修，江边漫步
                  ","
                    世茂江滨花园瑞景湾位于下沙城东，东临钱塘江，北接14号大街，西连25号大街，南临20号大街。小区开发商为南京世茂开发商，目前为止绿城物业全线打理，全天基本上都有采光
                  ","
                    小区出门50米就是十六号大街二十五路口公交站，十八号大街二十三路口公交站，二十三号大街十六号路口公交站，公交373,374,384,449,289,376。出行便利。
                  ",,,,,,,,,,,,
2,['野风海天城'],钱塘区-沿江北,120.392025,30.305502,420,28855,提前预约随时可看,103117776759,9,4室2厅1厨2卫,中楼层 (共31层),145.56㎡,平层,114.24㎡,板楼,南 东,框架结构,精装,两梯三户,有,2021-10-24,商品房,2019-08-20,普通住宅,满两年,非共有,"
                                有抵押 380万元
                              ",已上传房本照片,211024KG274552,"
                    房东满五唯一，纯东边套，江景视野开阔，格局方正，大四房。
                  ","
                    楼层：无遮挡采光好，中间楼层可看江景， 朝向：两开间朝南 东边套，采光充足 格局：两房朝南两房朝北卫，客厅朝东带弧形大阳台！
                  ",,"
                    房屋产权：70年商品房住宅 房龄：2007年 税费：满五年没有增值税，唯一住宅，没有个税，只需要交契税
                  ",,,,,,,,,,,
3,['杭州碧桂园'],钱塘区-大学城北,120.399295,30.335479,210,23559,提前预约随时可看,103117819128,3,3室1厅1厨1卫,中楼层 (共30层),89.14㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2021-10-27,商品房,2018-10-18,普通住宅,满两年,共有,"
                                有抵押 200万元
                              ",已上传房本照片,171117563410,"
                    碧桂园品质小区，小区环境好，人车分流，内设喷泉，小孩娱乐
                  ","
                    
碧桂园品质小区，小区环境好，人车分流，内设喷泉，小孩娱乐设施，小区绿化30%左右，碧桂园物业，管理严格，安全有保障
                  ","
                    
物美 肯德基 星巴克 农贸市场 小区旁基本设施齐全，体育馆在建，教育设施完善，公共交通也方便，地铁已经规划。小区旁教育机构，培训机构，琴行，舞蹈培训室，满足您孩子的需求
                  ",,"
                    
目前3190路3101路公交车直达地铁1号线文海南路地铁口、金沙湖龙湖天街综合体、小区边上就是德胜快速路、碧桂园边上就是水云和达城综合体、金地圈圈里综合体、有物美市、肯德基、星巴克和大学城北农贸市场，还有一个建设银行网点
                  ",,,,,,,,,,
4,['宋都东郡国际朗湾'],钱塘区-大学城北,120.401676,30.333367,245,27991,提前预约随时可看,103117509297,0,3室2厅1厨1卫,中楼层 (共17层),87.53㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯三户,有,2021-10-06,商品房,2016-11-04,普通住宅,满两年,非共有,"
                                有抵押 70万元
                              ",已上传房本照片,211006DK790865,"
                    满五税费少，业主诚心卖，有钥看房方便，小区中间位置
                  ","
                    户型方正，三面采光，楼层好，视野开阔，一进门是朝南的客厅大窗户采光好 3开间朝南户型
                  ",,"
                    有奥特莱斯，向南行至10号大街听涛路，有水云和达城，金地圈圈里
                  ","
                    小区的门口就是社区公交环线的公交站，出行方便，高速口距离小区近，交通四通八达出行便捷
                  ",,,,,,,,,,
5,['中国铁建保利像素'],钱塘区-大学城北,120.391309,30.339239,250,28128,提前预约随时可看,103117551064,16,3室2厅1厨2卫,中楼层 (共33层),88.88㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2021-10-09,商品房,2019-05-07,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,211009FN009585,"
                    保利开发商 统一精装修业主自住 次新房 3房2厅2卫 中间套
                  ","
                    户型方正，标准3房，三开间朝南，客厅带阳台，主卧次卧朝南，书房朝北，厨卫朝北，居住舒适
                  ",,"
                    
水云和达城购物商城，百联奥特莱斯购物商城，近德胜高架，交通便利，小区边上菜场、饭店、理发店等，生活设施齐全，教育设施完善
                  ","
                    
开发商全新装修，厨房，卫生间已经全部装好，可直接使用，业主家电家具已配好 可拎包入住
                  ","
                    地铁一号线文海南站、云水站：公交车390路，直达至文海南地铁站，公交448路直达至云水站，距离约2.9公里
                  ",,,,,,,,,
6,['观澜时代云邸苑'],钱塘区-沿江南,120.370079,30.272317,460,24605,有租户需预约,103116031422,23,5室2厅1厨3卫,中楼层 (共43层),186.96㎡,跃层,140.76㎡,板楼,南 北,钢混结构,毛坯,两梯四户,有,2021-07-10,商品房,2013-11-29,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210711WZ728243,"
                    满五唯一、一线江景、视野开阔、经典跃层格局
                  ","
                    观澜时代位于杭州市东部经济技术开发区沿江2号地块，南沿江大道，是杭州东部沿江板块一座集酒店、商贸、居住、休闲于一体的大型城市综合体。项目总建筑面积约70万平方米，由13幢沿江高层景观公寓、4大排屋组团、酒店组成
                  ","
                    
此小区位于下沙经济开发区金隅观澜时代云邸，是24号大街沿线，正面钱塘江，下沙湿地公园和金隅大草坪周末好去处。购物方便，出行很方便，金隅农贸市场和物美等
                  ",,"
                    24号大街横贯观澜时代； 公交站24号大街有384、374、302、449路，距离地铁是一号线下沙江滨站3.5公里。
                  ",,,,,,,,,,
7,['景冉佳园'],钱塘区-高教园区东,120.397068,30.311544,260,31957,有租户需预约,103117789017,2,2室1厅1厨1卫,低楼层 (共30层),81.36㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,2021-10-25,商品房,2017-09-05,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,211022VS139869,"
                    此房满五年，大两房，楼层位置俱佳，诚心出售！
                  ","
                    生活配套齐全，菜场，宝龙城市广场，医药店都很齐全 距钱塘江，骑车没多久就能到江边
                  ","
                    
小区有大型购物商场，娱乐场所，云水幼儿园，菜场，水果店，饭店，小区北面是浙江工商大学。距离小区两公里内有和达东东城购物广场，宝龙城市广场及物美市等龙湖天街等
                  ",,"
                    小区出门步行500米就是104、298、384等公交车站，小区离地铁一号线云水站900米；交通十分便利。
                  ",,,,,,,,,,
8,['金隅观澜时代朗轩'],钱塘区-沿江南,120.373641,30.277199,315,30544,提前预约随时可看,103117735558,8,4室1厅1厨2卫,中楼层 (共33层),103.13㎡,跃层,76.33㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2021-10-21,商品房,2014-11-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,211021PR070022,"
                    本房满五年，户型方正，全屋地暖，适宜居住
                  ","
                    房子的户型方正，客厅也是朝南，所以光线 好，每个功能间都有窗户，采光好。

                  ",,"
                    金隅农贸市场，东湾购物市，金隅Smrt街，保利湾天地各色商铺 ，银行有工商银行、建设银行、交通银行、农业银行，医院有东方医院、下沙医院。正面钱塘江，下沙湿地公园和金隅大草坪周末好去处


                  ","
                    小区东门100米左右有384、374、298，449公交站台，乘坐5站路可到下沙江滨地铁站


                  ",,,,,,,,,,
9,['观澜时代云邸苑'],钱塘区-沿江南,120.370079,30.272317,220,26449,提前预约随时可看,103117743564,2,2室1厅1厨2卫,低楼层 (共43层),83.18㎡,跃层,58.02㎡,板楼,南,钢混结构,精装,两梯四户,有,2021-10-21,商品房,2015-10-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210816XN818984,"
                    此房业主自住装修 采光无遮挡 视野开阔 满五看房方便
                  ","
                    金隅农贸市场，东湾购物大卖场，金隅Smart街，保利湾天地各色商铺（约70家） ：新美商场、物美大卖场、都尚购物、太平洋百货、福雷德广场 银行：工商银行、建设银行、交通银行、农业银行 医院：东方医院、下沙医院
                  ",,,"
                    交通便捷，出门就是公交站374、384、298、449。距离江滨地铁口1500米此房业主自住装修 采光无遮挡 视野开阔 车位另算 看房方便
                  ",,,,,,,,,,
10,['保利湾天地二期'],钱塘区-沿江南,120.375935,30.277784,155,13754,提前预约随时可看,103115096578,19,4室2厅1厨2卫,高楼层 (共33层),112.7㎡,跃层,80.65㎡,塔楼,南,框架结构,精装,四梯十三户,有,2021-05-18,商品房,2014-05-16,商住两用,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210502QK298933,"
                    方便看房，诚心出售；精装修，采光很好
                  ","
                    层高5.8米，动静分离，一层为客厅，厨房及卫生间；二层有两个卧室，一个卫生间


                  ",,"
                    房东诚心出售，看中价格可以谈，按揭、全款无要求，家具家电齐全
                  ",,,商水,民电,"
                    开发商统一装修 可拎包入住，或者直接出租！开发商统一装修 可直接拎包入住
                  ",,,,,,
11,['宋都丽郡国际'],钱塘区-大江东,120.49827765518,30.28667043767,220,24714,提前预约随时可看,103117497224,18,3室2厅1厨2卫,低楼层 (共18层),89.02㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,有,2021-10-05,商品房,2019-04-25,普通住宅,满两年,非共有,"
                                有抵押 60万元 业主自还
                              ",已上传房本照片,211005EZ742668,"
                    宋都丽郡 三开间朝南 全套精装修
                  ","
                    
宋都丽郡国际，由百强上市房企——宋都集团倾力打造。 项目规划总建筑面积约18.3万m²，由13幢18层的简欧建筑组成，将打造成约89-132m²国际精工大宅。项目北近规划中的大江东新城区，南靠成熟义蓬商圈中，校、医院、银行云集
                  ","
                    
医院：萧山四院， 综合商场：义蓬购物、华润万家 、工行、农行、建行、杭州银行 地铁：邻近规划中的地铁7号、8号线
                  ",,"
                    
7号线塘新线站， 公交路线：金星村(萧山区): 351路 青六村: 351路 义蓬镇政府: 351路 义蓬公交站: 351路、734路、749路、743路 义蓬汽车站: 361路、880路
                  ",,,,,,,,,,
12,['保利江语海'],钱塘区-高教园区东,120.398987,30.31021,242,43377,提前预约随时可看,103117683040,3,2室1厅1厨1卫,低楼层 (共32层),55.79㎡,平层,40.69㎡,板楼,南,钢混结构,简装,两梯四户,有,2021-10-17,商品房,2013-10-09,普通住宅,满五年,共有,"
                                有抵押 20万元
                              ",已上传房本照片,211017KU759244,"
                    此房满五年唯一文海集团，江景房，诚心出售。
                  ","
                    保利江语海，一共有七幢高层，还有部分别墅，属于沿江品质小区，西面是经济适用房景冉佳园，东南角设计有小型市政绿地；地块优势在于南向一线临江；物业为保利物业，属于自己的物业，小区实行人车分流，每天都有保安巡逻。
                  ","
                    小区西门私立钱塘国际幼儿园，北边新建的云水幼儿园，东边与钱塘江隔之江东路，生活配套完善。有物美。生活方便。下沙有邵逸夫医院，龙湖天街，银泰。
                  ",,,,,,,,,,,,
13,['东海柠檬郡'],钱塘区-工业园南,120.32762347121,30.30332311597,298,33222,下班后可看,103117617798,3,3室1厅1厨1卫,高楼层 (共32层),89.7㎡,平层,69.57㎡,板楼,南,钢混结构,精装,两梯四户,有,2021-10-13,商品房,2013-03-07,普通住宅,满五年,非共有,"
                                有抵押 105万元
                              ",已上传房本照片,211012NO318778,"
                    此房满五唯一，格局好，楼层好，品质小区，采光充足
                  ","
                    小区是以东南亚风格为主题建造的外观颜色和小区绿化，开发商是东海集团，物业是东海物业，物业费2.7元
                  ","
                    东部是银泰购物（饮食娱乐一体化），南边是钱塘江，北边是760亿打造的金沙湖，龙湖时代天街和下沙管委会，颐高数码城，邵逸夫医院、银泰百货、七格美食城、北京银行、文化广场、下沙龙湖天街
                  ",,"
                    门口就是快速公交，B1区间。距离金沙湖地铁站1.6公里。交通出行是比较便利的
                  ",,,,,,,,,,
14,['杭州碧桂园'],钱塘区-大学城北,120.399295,30.335479,230,25806,提前预约随时可看,103117634669,0,3室1厅1厨1卫,低楼层 (共32层),89.13㎡,平层,65.92㎡,板楼,南,砖混结构,精装,两梯四户,有,2021-10-14,商品房,2015-01-05,普通住宅,满五年,非共有,"
                                有抵押 56万元 工商银行，需要客户偿还 客户偿还
                              ",已上传房本照片,190625455317,"
                    此房满五年，无增值税，中间楼幢不沿街，楼层好
                  ","
                    碧桂园品质小区，小区环境好，人车分流，内设喷泉，小孩娱乐设施，小区绿化30%左右，碧桂园物业，管理严格，安全有保障
                  ","
                    物美 肯德基 星巴克 农贸市场 小区旁基本设施齐全，体育馆在建，教育设施完善，公共交通也方便，地铁已经规划。小区旁教育机构，培训机构，琴行，舞蹈培训室，满足您孩子的需求
                  ",,"
                    房子为商品房 房子 满五唯一 没有个税和增值税 .税费只需要缴纳契税 .
                  ",,,,,,,,,,
15,['名城湖左岸'],钱塘区-金沙湖,120.333123,30.320517,365,40701,提前预约随时可看,103117584610,9,3室2厅2厨2卫,低楼层 (共19层),89.68㎡,跃层,63.75㎡,平房,南,框架结构,精装,两梯四户,有,2021-10-11,商品房,2015-11-09,普通住宅,满五年,非共有,"
                                有抵押 230万元
                              ",已上传房本照片,211011QV192649,"
                    满五唯一：无增值税，自住精装修40万，三房，临地铁。
                  ","
                    跃层户型动静分离，高得房率，扩展至120来平方，三房两卫，四开间朝南，客厅朝东采光好
                  ",,"
                    业主在杭州这套房子是满五唯一的无增值税，无个税   降低首笔款支出比例
                  ",,,,,,"
                    配套：邵逸夫下沙分院2.4k,金沙天街0.9k，地铁1号线金沙湖站1k,
                  ",,,,,
16,['观澜时代云邸苑'],钱塘区-沿江南,120.370079,30.272317,240,26879,提前预约随时可看,103117697529,5,3室1厅1厨1卫,高楼层 (共43层),89.29㎡,平层,59.83㎡,板楼,南,钢混结构,精装,两梯两户,有,2021-10-18,商品房,2013-06-19,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210613DE374587,"
                    装修优势：精装修，保养很好。 户型方正，视野开阔
                  ","
                    小区是金隅地产开发，央企大品牌，24小时保安，管家式服务，电梯房小区，绿化高，密度低，一个闹中取静的品质小区

                  ","
                    户型优势：主卧客厅朝南，本方小房间的面积要比别的户型大，明厨明卫全明户型，通风好，楼间距宽，无遮挡
                  ","
                    是自己住精装的15年搬进来住的，装修25万左右，不过房子的小房间要比同户型要大一些，这套房子有买家接手可以直接入住的
                  ",,,,,,,,,,,
17,['金隅空港公馆'],钱塘区-沿江南,120.377468,30.276502,68,11579,提前预约随时可看,103117746893,2,1室0厅1厨1卫,低楼层 (共22层),58.73㎡,平层,暂无数据,板塔结合,北,钢混结构,精装,两梯十四户,有,2021-10-22,商品房,2019-03-14,商住两用,满两年,共有,"
                                无抵押
                              ",已上传房本照片,190326799937,"
                    
空港公寓，精装修，朝南 江景视野很好
                  ","
                    金隅空港公寓，2018年开盘，沿江而建，以50方至70方的一室一厅户型为主，适合年轻人以及情侣入住。
                  ","
                    小区旁 有大润发，喜客多，电影院，联华 。菜市场距离小区几百米，小区楼下，商家多，日常生活起居很方便。
                  ",,"
                    
B1区间2首站、世茂江滨站地铁站。公交B1区间2、104路、373路、383路以及374路，交通便利，出行方便！到地铁站5站路.
                  ",,商水,商电,,,,,,,
