,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,小区介绍,周边配套,户型介绍,售房详情,适宜人群,装修描述,用水类型,用电类型,燃气价格,交通出行,税费解析,别墅类型,权属抵押
0,['城发云锦城'],上城-丁桥,120.23707,30.377721,265,30276,提前预约随时可看,103117520150,23,3室1厅1厨1卫,中楼层 (共13层),87.53㎡,平层,69.27㎡,板楼,南,钢混结构,简装,两梯四户,有,2021-10-07,商品房,2016-04-13,普通住宅,满五年,共有,"
                                有抵押 45万元
                              ",已上传房本照片,211009YY001810,"
                    一期的三房，满五年，三个大阳台，有车位，随时看房
                  ","
                    城发云锦城，位于杭州市江干区丁桥街道长皋生态居住区 ，北边皋亭山风景区，小区绿化好
                  ","
                    ，银行一应俱全，北边是皋亭山风景区，真正的家门口的休闲娱乐场所，丁桥中医院，丁兰广场，丁兰智慧小镇，地铁3号线 龙湖天街
                  ","
                    地铁3号线，天丰站公交路线： 371路高峰大站车：斛角桥站535路：斜角桥站,三义站371路：斜角桥站867路：山羊坞东站,鲍家渡站386路：斜角桥站330路：斜角桥站
                  ",,,,,,,,,,,
1,['德信浙旅东宸'],上城-城东新城,120.225417,30.305701,740,58140,提前预约随时可看,103117810000,9,4室2厅1厨2卫,中楼层 (共11层),127.28㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,2021-10-26,商品房,2018-12-04,普通住宅,满两年,非共有,"
                                有抵押 235万元 杭州银行股份有限公司秋涛支行 业主自还
                              ",已上传房本照片,211026ZL502118,"
                    此房四叶草户型格局好 自住精装修 带地暖 新风系统 不靠马路
                  ","
                    小区处于城东新城中间板块，德信品质小区，盛全物业，环境优美小区绿化高，改善户型
                  ",,"
                    德信浙旅东宸为城东板块中间位置，距离彭埠地铁口800米，距离火车东站800米，距离德胜快速800米，距离杭甬高速2.5千米，交通出行都方便，往北可以直达笕桥丁桥余杭，往东可恶意直达九堡下沙海宁，往南可以到萧山滨江，往西可以直达钱江新城
                  ","
                    西子国际、华润欢乐颂、港龙城（物美，中影国际）、火车东站综合体四大配套集结，6所教育，以及浙二附属江干区人民医院
                  ",,,,,,,,,,
2,['广宇上东名筑'],上城-丁桥,120.23110366908,30.367106604883,275,32887,提前预约随时可看,103117480829,6,3室1厅1厨1卫,中楼层 (共16层),83.62㎡,平层,68.35㎡,板楼,南,混合结构,简装,两梯四户,有,2021-10-04,商品房,2013-06-18,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,190918905941,"
                    此房中间套户型，满五，采光好，两房朝南，看房方便
                  ","
                    小区环境舒适，闹中取静，生活配套成熟，餐饮、银行、医院、公交站点近在咫尺，生活方便，多条主干道相拥环抱，出行便利，适合宜居。小区建筑以高层为主，钢混结构，小区体量大，所以居住氛围浓厚，社会风气良好，健康向上，邻里关系和谐
                  ","
                    该房产位于杭州市江干区丁桥镇生活小区区域，边上配套成熟、完善，具有大唐城，新城广场，丁兰生活广场，数码广场，横店电影城等等，让你衣食无忧，足不出户。小区隔一个红绿灯处是丁桥中医院，现在已经运营，菜场在东边一个红绿灯处
                  ","
                    小区出门左转右转都有公交站就有99路812路182路218路345路335路公交车，步行大约1000米左右，小区出门就有公交步行100米有335路直达火车东站！
                  ",,,,,,,,,,,
3,['广宇上东名筑'],上城-丁桥,120.23110366908,30.367106604883,285,34071,提前预约随时可看,103117681489,8,3室1厅1厨1卫,中楼层 (共16层),83.65㎡,平层,68.35㎡,板楼,南,混合结构,精装,两梯四户,有,2021-10-17,商品房,2014-09-26,普通住宅,满五年,非共有,"
                                有抵押 40万元
                              ",已上传房本照片,211017DE729344,"
                    小区成熟，环境优越，位置好，小区绿化好，人车分流，有儿童..
                  ","
                    小区成熟，环境优越，位置好，小区绿化好，人车分流，有儿童活动区域！物业是广宇物业，小区24小时管理到位！
                  ","
                    该房产位于杭州市江干区丁桥镇生活小区区域，边上配套成熟、完善，具有物美，新城广场，龙湖天街，横店电影城等等。
                  ","
                    小区出门左转右转都有公交站就有99路812路182路218路345路335路公交车，步行大约1000米左右，小区出门就有公交步行100米有335路直达火车东站，出行还是很方便的 房主自荐(业主对房源的描述) 房主自荐(业主对房源的描述)
                  ",,,,,,,,,,,
4,['海月花园'],上城-复兴,120.16887463097,30.214339568734,780,34598,下班后可看,103113762629,130,5室2厅1厨3卫,高楼层 (共6层),225.45㎡,跃层,205.51㎡,板塔结合,西南,钢混结构,精装,一梯两户,无,2021-03-09,商品房,2015-07-28,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210309PM380967,"
                    海月轻奢大跃层！东边套精装修！满五年业主诚心出售！
                  ","
                    海月花园由浙江金纬房产开发，占地120余亩，分南北两区，区间为40余亩的中河绿化区， 海月花园所在复兴地块非农业用地，市政基础设施良好，水、电、排污、道路均已齐备，无须再进行大规模市政基础设施。


                  ","
                    海月桥，南临钱塘江，北靠凤凰山。生活设施健全 ，有大型*市世纪华联、农业银行，建设银行新丰小吃等复兴南街各类生活所需齐全。。。
                  ","
                    距地铁4号线复兴站200米，距钱塘江边350米，八卦田，西湖，近在咫尺。公交，城市高架，高速都很方便
                  ",,,,,,,,,,,
5,['大学路新村'],上城-潮鸣,120.190746,30.258242,204,39985,提前预约随时可看,103117569152,7,2室1厅1厨1卫,中楼层 (共7层),51.02㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯三户,无,2021-10-10,商品房,1999-01-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,211010KP110767,"
                    万安桥地铁口 三开间朝南，横河公园边阳光全天无遮挡，满五唯一
                  ","
                    
大学路新村位于杭州市上城区大学路版块， 北至老浙大横路，南至解放路，东至环城东路，西至大学路，是老城区比较成熟的小区， 小区共有44幢房子，房龄70年代到90年代，生活方便，配套齐全。
                  ","
                    这套房子也是一手拿到的房改房，一个人的产权，现在空置，满五年唯一的， 现换房诚心出售，随时可以签约
                  ",,,"
                    大学路新村距离地铁是5号线万安桥站，约500米，1号线城站地铁约1公里左右，公交车站有大学路北口公交站， 金衙庄公交车站，庆春门公交车站，菜市场是翰林农贸菜市场，浙一医院和浙二医院约800米左右，西湖约2.5公里，生活便利，交通方便。
                  ",,,,,,,,,
6,['景芳东区'],上城-景芳,120.221656,30.274768,220,37646,提前预约随时可看,103117792490,9,2室1厅1厨1卫,高楼层 (共7层),58.44㎡,平层,52.27㎡,板楼,南 北,砖混结构,简装,一梯三户,无,2021-10-25,商品房,2011-08-26,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,211017MM695780,"
                    4号线景芳站约800米，满五年，阳光全天，业主诚心出售，不沿马路
                  ","
                    景芳东区位于杭州市上城区景芳板块，西边是钱潮路，南边是凤起路，另外两侧都是小巷子，小区共有12幢房子，约1995年左右建成，小区出行方便，已经改造过，小区卫生干净，门口24小时保安把守，配套齐全，适合居住。
                  ","
                    这套房子是高楼层，目前没有电梯，里面装修保养的还不错，适合年轻人刚需，不用大装修。
                  ","
                    这套房子是业主二手买来的，目前里面的按揭都已经还清了，无抵押，产权清晰，随时可以上市交易。
                  ",,"
                    景芳东区这个小区生活是很方便的，地铁是4号线景芳站约800米，公交车站就在小区门口，菜市场在景芳新五区楼下约300米，医院是邵逸夫医院约2公里，商场有天虹约1000米，庆春银泰，501约1.5公里，边上吃饭，交通，医院，都很方便的。
                  ","
                    这套房子是业主2011年二手买来，11年装修好一直自住，因生了二胎买了大一点的房子，搬走有半年的时间，里面保养的还是比较干净，要求不高可以稍微刷一下墙拎包入住， 卖掉这套是想去换套新房，诚心出售，房子产权清晰，产权人都是年轻人，在杭州随时可签约。
                  ",,,,,,,,
7,['新城红郡'],上城-丁桥,120.235193,30.377259,273,30925,提前预约随时可看,103117691371,8,3室1厅1厨2卫,低楼层 (共22层),88.28㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2021-10-18,商品房,2017-11-23,普通住宅,满两年,共有,"
                                有抵押 52万元
                              ",已上传房本照片,200727VY700779,"
                    本房是红郡三房两卫精装修三房，楼幢位置好，夹东边套户型
                  ","
                    适合刚结婚夫妻， 家有老人孩子居住都适合 ，免去装修烦恼直接拎包入住。
                  ",,"
                    535路：三义站371路：长睦村站386路：长睦村站330路：，并会在天都路上设置一个站点；临丁路、同协路、石大快速路、留石快速路、秋石高架等。 3号线地铁 现已在建 2021年通车
                  ",,,"
                    配套设施齐全 三义农贸市场 各大银行 山姆会员店 西子丁兰广场 龙湖天街  交通便利 地铁3号线天丰路站 华鹤街长睦路口(335路 1902路)、 天山路华鹤街口(1902路)、 张基村(1902路)、 长睦路天山路口(1902路) 小区楼间距大 = 物业严格 品质小区
                  ",,,,,,,,
8,['滨江曙光之城'],上城-火车东站,120.21376067169,30.310071588185,440,49009,提前预约随时可看,103117730007,4,3室1厅1厨1卫,低楼层 (共17层),89.78㎡,平层,72.3㎡,板楼,南,钢混结构,精装,两梯三户,有,2021-10-20,商品房,2016-05-24,普通住宅,满五年,非共有,"
                                有抵押 100万元
                              ",已上传房本照片,190812472010,"
                    
此房中间楼层，采光通风好，户型方正。房子满五，自住精装
                  ","
                    本小区为2014年交付商品房社区，由澳大利亚柏涛设计咨询有限公司进行规划，小区内带露天泳池和室内游泳池，室内健身房对业主免费开放，户型采用全明设计，设底层大堂和架空处理，楼间距比为1:1.1，物业公司滨江物业，设有双门禁系统，24小时保安巡逻
                  ","
                    
此小区地铁6号线枸桔弄200米，北面700米有物美、润贸生活广场，可以满足您生活一切所需。有电影院、服装，鞋子等。北面500米有菜市场，买菜很方便
                  ","
                    小区东门出来就是花园兜公交站，可乘坐：111路、304路、305路、357路、358路、B支2路，到九堡客运站、市一医院很是方便。开车出行可以走机场路，德胜高架或者秋石高架等。
                  ",,,,,,,,,,,
9,['丁桥颐景园'],上城-丁桥,120.23514922911,30.358741675261,310,35555,提前预约随时可看,103117751059,4,3室1厅1厨1卫,高楼层 (共13层),87.19㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,2021-10-22,商品房,2016-10-19,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,211022JC124514,"
                    房子满五年，东边套，楼层好采光没有遮挡，精装修，诚心出售
                  ","
                    小区环境清新优雅 两个大型广场距离不到100米 物业是颐景园自己的物业 服务好 小区只有一个门进出 治安好，2012年交付 户型介绍： 房子是2012年住进来的，商品房小区
                  ","
                    丁兰广场距离不到50米，美食，商场，大型生活世纪联华，星巴克 横店电影院等配套完善，吃喝玩乐一体化的大型配套设施 旁边还有明珠1号小吃一条街 物美大卖场 新城广场等配套， 整个丁桥板块环境好属杭州聚结的居民区。
                  ","
                    交通：地铁3号线丁桥站{在建中} 公交：200米之内明珠街丁兰路口(85路 99路 272路高峰线)、 闵顺桥(335路 85路 99路)、 丁桥大唐苑(345路 95路 125路 218路 B3)、 行倜桥(95路 99路 1902路)、 涌泉桥(95路 1902路)、 丁桥大唐苑(BRT)(B3高峰线）
                  ",,,,,,,,,,,
