,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,用水类型,用电类型,燃气价格,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,小区介绍,周边配套,户型介绍,交通出行,税费解析,装修描述,适宜人群,别墅类型,售房详情,权属抵押
0,['萧山宝龙城市广场'],萧山-萧山新城区,120.259995,30.200861,218,18491,提前预约随时可看,103117482491,30,3室2厅1厨2卫,中楼层 (共23层),117.9㎡,平层,暂无数据,板塔结合,东南,混合结构,毛坯,两梯九户,有,民水,民电,3.1元/m3,2021-10-04,商品房,2017-08-23,商住两用,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,211004XI692685,"
                    楼下就是萧山宝龙广场，吃喝玩乐样样都有，生活 方便！
                  ","
                    开发商：杭州萧山宝龙置业有限公司 物业：杭州萧山宝龙置业有限公司 开盘时间：2014年10月25日 总户数：2000户 占地面积：45830平方米 建筑面积：230000平方米 萧山宝龙城市广场定位为一站式繁华生活，宝龙三代城市综合..
                  ","
                    项目自带购物综合体，吃喝玩乐一条街。购物：开元加州阳光广场、永辉，家乐福、大润发； 医院：萧山医院、萧山开发区医院、万象医院； 银行：建设银行、工商银行、农村信用社； 其他：雷迪森铂丽大饭店、萧山图书馆、萧山歌剧院等
                  ","
                    位于市政主干道金鸡路和建设一路交叉口，该小区前面有建设一路金鸡路口公交站，途径355路725路，向东1.3公里2号线地铁建设一路站，驾车通过钱江三桥和庆春路过江隧道无缝对接杭州主城区，沿金鸡路向北3公里机场高速直达萧山国际机场，出行便捷无忧。
                  ",,,,,,,,
1,['中誉现代城'],萧山-萧山新城区,120.29484,30.190111,285,21956,提前预约随时可看,103117707294,13,3室2厅1厨2卫,低楼层 (共6层),129.81㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,有,,,,2021-10-19,商品房,2006-10-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,211015JP583917,"
                    满五不占用，楼梯房，大户型，采光好，业主诚心出售
                  ","
                    小区房龄2005-2007年，总共30幢，1-25幢是东区，多层6层，小区大门以外的是西区，电梯房，26-28是大面积的，29-30幢小户型，有地上车位先到先得，地下车位360元/月，卓 越物业，小区自带嘉明幼儿园，环境优雅，适宜居住，大门口有生活配套，菜店，农贸市场
                  ","
                    
小区南面有裴家埭（公交站）可乘328路、406路、414路、708路、715路，东北面有长山一号桥（公交站）可乘坐360路、709路，小区里有自行车租赁点，位于通惠中路，往北通机场快速及九堡大桥，地铁5号线在建年底通车，金城路彩虹快速路直通滨江
                  ",,,,,,,,,
2,['华瑞晴庐'],萧山-萧山新城区,120.288192,30.202636,340,37757,提前预约随时可看,103117755727,1,3室2厅1厨3卫,高楼层 (共30层),90.05㎡,平层,暂无数据,板塔结合,南,混合结构,毛坯,两梯三户,有,,,,2021-10-22,商品房,2017-06-02,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,211023CT228093,"
                    晴庐 拓展面积22方 五号线七号线双地铁 业主诚售


                  ","
                    此楼盘最早入住开发区的楼盘，小区分两期交付，一起是2015年交付，二期是2016年交付。小区自带游泳池，篮球场，生活公园；小区人车分流，共有三个入口，分别是东门，西门和北门；车入口分别是东门和北门。

                  ","
                    公交722 公交411 公交361 公交710 公交709等公交。小区有东北西三个大门，西门和北门公交车站及环保自行车
                  ",,,,,,,,,
3,['融创东南海'],萧山-萧山开发区,120.338821,30.20361,235,29819,提前预约随时可看,103117848651,12,3室1厅1厨1卫,中楼层 (共27层),78.81㎡,平层,暂无数据,板楼,南,框架结构,简装,两梯三户,有,,,,2021-10-29,商品房,2018-09-25,普通住宅,满两年,共有,"
                                有抵押 40万元 中国建设银行 业主自还
                              ",已上传房本照片,210623PX502785,"
                    中间楼层 采光好 视野开阔 得房率高  
                  ","
                    融创开发的，万科的物业，小区人车分流，小区自带游泳池，儿童乐园，凉亭，小区自带6万方的综合体。
                  ","
                    三房两厅一卫的户型 明厨明卫 通风性好  客厅带阳台 三开间朝南 动静分明
                  ","
                    地铁7号线新街站50米 公交727路直线距离100米  地铁7号线去奥体只要6站
                  ","
                    小区外有银行：建设银行，农商行，工商银行。医院：新街卫生院，萧山医院。商场：乐融荟，新街农贸市场。新街四小，新丽名苑幼儿园。
                  ",,,,,,,
4,['湖畔宽邸中央郡'],萧山-湘湖,120.247571,30.168874,450,22217,提前预约随时可看,103104918490,97,4室2厅1厨3卫,高楼层 (共5层),202.55㎡,平层,180.01㎡,板楼,南 北,混合结构,毛坯,两梯一户,有,,,,2019-06-03,商品房,2010-05-17,普通住宅,满五年,共有,"
                                有抵押 300万元
                              ",已上传房本照片,190715559881,"
                    此房满两年没有增值税，湘湖景区板块，旁边就是杭州乐园
                  ","
                    门口就是休博路 步行500米可到杭州乐园主园区，小区西面是贯穿整个萧山的风情大道。离地铁1号线湘湖站出口1.5公里，西北1门有湖畔路水城路口公交站1594路 712路
                  ",,,,"
                    此房为70年住宅房 满两年无综合税 有1%个税  契税大于90平方（首套1.5% 二套2%）
                  ","
                    小区东边是杭州乐园，南面是湘湖景区，东面是西山公园，旁边休闲娱乐的场所很多，可以休息的时候带家人放松心情
                  ",,,,,
5,['湘湖人家'],萧山-闻堰,120.188073,30.132153,249,27859,提前预约随时可看,103117558480,5,2室2厅1厨1卫,低楼层 (共16层),89.38㎡,平层,71.8㎡,板楼,南,钢混结构,精装,一梯三户,有,,,,2021-10-09,商品房,2011-09-05,普通住宅,满五年,共有,"
                                有抵押 62万元
                              ",已上传房本照片,200316791560,"
                    客厅朝南带阳台，主卧朝南带飘窗，户型方正，清爽装修，采光充足
                  ","
                    小区依山傍水，环境优美，清新典雅的格局，该小区为独立的排屋区域，邻近索菲特世外桃源，真正意义上的出则繁华，入则宁静！
                  ","
                    
小区配套齐全，购物： 物美购物广场、华润万家、好又多、湘湖购物广场 医院：湘湖医院、闻堰镇卫生院、浦沿卫生院 银行：农业银行、建设银行、中国银行、工商银行、农村信用合作社 
                  ","
                    
K352路、K706路、K178路、K222路 闻堰公交站716/716B； 开车：沿时代大道往南是杭州绕城高速、往北是经冠山隧道是滨江、萧山、杭州
                  ",,,,,,,,
6,['香山四季公馆'],萧山-南部卧城,120.25791,30.117615,90,12664,提前预约随时可看,103117638988,18,3室1厅1厨1卫,中楼层 (共19层),71.07㎡,暂无数据,暂无数据,板楼,北,钢混结构,精装,四梯十九户,有,民水,民电,,2021-10-14,商品房,2017-09-08,商住两用,满两年,共有,"
                                有抵押 87万元 浙江萧山农村商业银行义桥分行 业主自还
                              ",已上传房本照片,210518NX183446,"
                    民用水电，管道天然气，双阳台，朝南loft结构，
                  ","
                    房子是loft结构，楼上2房，楼下1房，户型正气，通风好，楼层佳，具体详情请咨询经纪人。
                  ",,"
                    业主2018年自住精装20万，装修保护很好，买来就能住，看房方便，
                  ","
                    此房满五年有增值税有个税。以上税费仅供参考，最终税费会因您的个人情况有所偏差。
                  ",,"
                    银行：萧山农商银行(犁头金分理处)、萧山农商银行(曹家桥分理处) 医院：萧山区蜀山街道桥头陈社区卫生服务站、浙江大学医学院附属第二医院(总部)
                  ","
                    公交：畈里余(745路,765路,714路,719路)、亚太路小白线路口(719路)、亚太路自立路口(745路,719路,726路);
                  ",,,,
7,['绿都御景蓝湾'],萧山-义桥,120.19084765555,30.089297863737,249,27806,提前预约随时可看,103117565357,2,3室2厅1厨2卫,低楼层 (共27层),89.55㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯五户,有,,,,2021-10-09,商品房,2019-05-22,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,211010CA157495,"
                    房子格局通透 采光好 户型方正 实际面积大 位置安静 配套齐全
                  ","
                    小区说绿都开发商，品质有保证，小区采用封闭式管理，外出人员登记，24小时监管，小区内人车分流，有健身馆，小孩游乐设施

                  ","
                    本房适合没购房资格的刚需客户，适合开公司的人一边办公一边自住，配套齐全，楼下就是商场


                  ",,,,,,"
                    小区门口就有共享单车，共享电动机车，满足一公里以内骑行需要，小区楼下200米是公交站点，到萧山市区，到滨江市区，到杭州市区都方便，小区紧靠主干道时代大道


                  ",,,
8,['绿都御景蓝湾'],萧山-义桥,120.19084765555,30.089297863737,260,29214,提前预约随时可看,103117659494,1,3室2厅1厨2卫,高楼层 (共11层),89㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯两户,有,,,,2021-10-15,商品房,2018-08-09,普通住宅,满两年,非共有,"
                                有抵押 30万元
                              ",已上传房本照片,211012AQ342867,"
                    一梯两户 小高层 南北通 房东诚心出售
                  ","
                    小区的开发商是绿都地产开发，目前在义桥板块有四个楼盘，御景蓝湾是分为三期，全小区采用人车分流的形势，小区环境内有露天游泳池，有小孩子的游乐场地，小区内就有双语幼儿园，物业是开发商自带的久安物业，内部就有美宜佳、苏行情，生活便利
                  ","
                    小区新房开盘时定位为刚需盘，大部分是刚需客户，客户多来自滨江高新企业园员工，目前小区在卖业主大部分是置换到滨江，购房客户大部分还是来自滨江高新企业员工，居住舒适，交通便利是购房人看中的。
                  ","
                    
御景蓝湾小区位于滨江南部，上了时代高架到滨江，北面是义桥互通出口，通往绍兴，临安等地，小区门口即为公交车站（352路，417路，719路，745路），通往滨江及主城区，出入便利，乘坐公交可直达地铁4号线终点站浦沿站。
                  ",,,,,"
                    
御景蓝湾小区自带美宜佳，可供日常生活所需，小区内部就有幼儿园，健身房等设施，小区东面是时代大道，通往滨江及主城区便利，小区北面是义桥互通，通往杭州及其他城市。
                  ",,,
9,['南岸花城'],萧山-闻堰,120.20319,30.11291,580,29114,提前预约随时可看,103116774119,102,4室2厅1厨3卫,低楼层 (共1层),199.22㎡,,暂无数据,,南 北,钢混结构,精装,,,,,,2021-08-22,商品房,2007-09-05,别墅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210801QM970985,"
                    排屋有露台，全新自住精装修，未入住过，东西齐全
                  ","
                    本小区以排屋为主的花园式小区，绿化覆盖率高，小区有山景、湖景、瀑布景、樟树景，入住环境幽静、舒适宜人。
                  ","
                    湘湖购物、华润万家、世纪联华、上海华联、上海宾佳、好又多、乐购； 医院：湘湖医院、闻堰镇卫生院； 邮局：义桥邮政支局、闻堰邮政储蓄、浦沿邮政支局； 银行：萧山农村合作银行、萧山农村合作银行。
                  ","
                    小区西门左边是文化园站(178路；726路；352；)，右边是小砾山站（222路; 352路; 719路; 726路; 745路），可直达杭州、滨江和萧山；出北门到湘湖景区三期走路只200米左右就到了。
                  ",,,,,,独栋,,
