,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,小区介绍,适宜人群,周边配套,用水类型,用电类型,燃气价格,户型介绍,装修描述,税费解析,权属抵押,售房详情,交通出行,别墅类型
0,['润达花园'],西湖-三墩,120.097392,30.331907,230,32971,提前预约随时可看,103117731096,11,2室1厅1厨1卫,中楼层 (共6层),69.76㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,无,2021-10-21,商品房,2005-04-27,普通住宅,满五年,共有,"
                                有抵押 100万元
                              ",已上传房本照片,211021LE996530,,,,,,,,,,,,,,,
1,['黄龙雅苑'],西湖-黄龙,120.144588,30.275573,1880,85215,提前预约随时可看,103117800977,11,4室2厅1厨2卫,高楼层 (共12层),220.62㎡,跃层,187.16㎡,板楼,南 北,钢混结构,精装,两梯两户,有,2021-10-26,商品房,2009-07-22,普通住宅,满五年,共有,"
                                有抵押 224万元
                              ",已上传房本照片,201014YR250550,"
                    宝石山顶跃景观房、有大露台、有地下车位、黄龙体育馆一路之隔
                  ","
                    总建筑面积约4.5万平方米，有5幢小高层住宅，每幢高层的底层均设酒店式大堂。建筑空间形态采用东高西低的处理手法，单体临西做成退台状。既可使住户一览远处群山与西湖美景，又使整个小区的天际线具有活泼的起伏感和优美感
                  ","
                    本房是业主自住晶装修，有电梯，方便家里有老人。顶楼大跃层，适合上下三代同堂居住，医疗，商钞、景区综合配套齐全。男女老少皆宜~！
                  ","
                    黄龙雅苑位于杭州西溪路，南临黄龙洞，北临沿山河，西与电力局大楼地块相临。比邻黄龙沃尔玛钞市，黄龙万科综合体。医院有：市中医院，浙江医院，浙大西溪校区邮局，华夏银行、招商银行、杭州银行、广发银行、光大银行等；保俶塔，宝石山和西湖景区
                  ","
                    乘座21路、82路到跑马场站;乘坐282路到黄龙体育馆;乘坐快速公交b1、b1区间、193路、303b线、303路、598b路到黄龙公交站;驾车从杭大路-西溪路-聚龙巷与跑马场路十字路口即到;3号线松木场站、10号线玉古路站均在建。交通方便快捷
                  ",,,,,,,,,,
2,['西溪诚园明礼苑'],西湖-西溪,120.08903,30.294761,660,40519,提前预约随时可看,103117829243,4,3室1厅1厨2卫,高楼层 (共10层),162.89㎡,平层,114.97㎡,板塔结合,南 西 北,框架结构,精装,四梯八户,有,2021-10-27,商品房,2015-01-20,商住两用,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,200712YL995794,"
                    绿城精装修，高楼层，采光充足.
                  ","
                    西溪诚园是绿城地产开发的高品质住宅社区，小区西至崇仁路，东到紫金港路，南临文一西路，北靠余杭塘路，隶属于西湖区蒋村街道管辖，总共建成五期，依次是知敬苑、明礼苑、守纯苑、正信苑、致诚苑，每一期都自带泳池与大花园；小区由绿城物业管理
                  ","
                    小区的各项配套日渐成熟，目前五期致诚苑西侧的西溪银泰城已经开始营业，余杭塘路往东大约2公里有五洲国际广场、古墩路印象城等大型商场；西溪湿地北门距离小区大约2公里，是一个日常休闲、游玩的好去处；绿城医院距离小区大约3公里，医疗配套完善。
                  ",,"
                    
500米范围内有文一西路、余杭塘路、紫金港路等交通主干道，文二西路、花蒋路等主干道距离小区大约1公里，驱车前往市区、未来科技城、老余杭、临平、之江、滨江等区域，都是很方便的；148路、145路、199路、311路、1303路等公交线路从小区经过，公交出行很..
                  ",商水,民电,3.1元/m3,,,,,,,
3,['外东山弄'],西湖-黄龙,120.134868,30.263193,420,64005,提前预约随时可看,103117814991,8,3室1厅1厨1卫,高楼层 (共5层),65.62㎡,错层,暂无数据,板楼,南 北,砖混结构,精装,一梯一户,无,2021-10-27,商品房,2017-04-07,普通住宅,满两年,共有,"
                                有抵押 98万元 中国银行股份有限公司 业主自还
                              ",已上传房本照片,200411915487,"
                    此房不满五年，一梯一户公摊少，采光充足，精装修拎包即住。
                  ","
                    一部分房子是85年前后，一部分房子为92年前后；小区位于老和山脚下，步行到西湖700米；主要居住人群为省机关单位的领导和原来单位的工作人员。2017年10月份做了外立面改造，房子外观整洁，道路拓宽，美观大方内，闻裕顺幼儿园。


                  ","
                    此房人文环境好，配套齐全，有东山弄菜场、植物园，适合家有老人小孩居住。


                  ","
                    东山弄菜场和东山弄食堂，为您的生活提供便利；浙大玉泉，老和山植物园，宝石山和西湖景区，为您提供良好的人文居住环境；黄龙体育馆，包玉刚游泳馆，少年宫，图书馆为小孩提供良好的娱乐和学习环境。青芝坞：旅游胜地


                  ","
                    【玉古路求是路口】15路;79路;89路;101路;118路;194路;197路;假日游6线jy6；【浙大公交站】16路;21路;28路;52路;82路;87路;89路;103路;103路区间;103路夜间线;117医院临时线;194路;228路;318路;318路区间;807路;假日游6线jy6路【地铁10号线】在建中


                  ",,,,,,,,,,
4,['赞成岭上花苑'],西湖-转塘,120.066269,30.151306,570,29221,提前预约随时可看,103117648891,9,4室2厅1厨3卫,高楼层 (共14层),195.07㎡,跃层,155.88㎡,板楼,南,钢混结构,精装,一梯两户,有,2021-10-15,商品房,2016-07-02,普通住宅,满五年,共有,"
                                有抵押 300万元
                              ",已上传房本照片,211015DD571990,,,,,,,,,,,,,,,
5,['文二路58号'],西湖-文教,120.149556,30.289789,468,64189,提前预约随时可看,103117656649,3,3室1厅1厨1卫,中楼层 (共5层),72.91㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯四户,无,2021-10-15,已购公房,2000-04-10,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,211015PS541077,"
                    文一街，3室1厅小户型，2朝南1房朝北，房东，诚心卖
                  ","
                    2房南1房北，主卧朝南带窗户，厨卫朝北带窗户，全明户型，楼层好
                  ",,,,,,,"
                    2房南1房北，简单清爽装修，买过来要自己住或者出租都是可以的
                  ","
                    本小区出行比较方便，距离比较近的公交站是马塍路公交站，本站主要通行10路;13路;19路;41路;82路;86路;197H路;197路;199路;8211路，距离最近的地铁站是2号线下宁桥地铁站，转其他线还是比较便利的
                  ",,,,,
6,['钱塘ONE'],西湖-转塘,120.125087,30.155014,580,44923,提前预约随时可看,103117737002,10,4室1厅1厨3卫,高楼层 (共12层),129.11㎡,跃层,暂无数据,板塔结合,东南,混合结构,精装,两梯三十二户,有,2021-10-21,商品房,2020-12-18,商住两用,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,210601ET911789,"
                    钱塘江景房 4.79米挑高 精装2房 拎包入住
                  ","
                    
开发商是杭州汇辉置业有限公司，物业是浙江绿城物业管理有限公司，小区绿化30%。小区外立面很新，新式风格；小区和正常住宅小区很类似，有独立的小区环境和入户大门，纯人车分流小区
                  ","
                    
全部都是精装交付的，一楼的厨房，油烟机、整体橱柜、预留好了冰箱位；卫生间是精装好干湿分离的。全屋空调，大面积落地窗，居住舒适度还是很高的
                  ",,,商水,商电,3.1元/m3,,"
                    3KM左右就有6号线之浦路地铁站，之江银泰店也即将盛大开业，出门也有公交站台，小区楼下就有物美，整体生活配套设施、出行交通都是很便利的
                  ",,,,,
7,['紫金公寓'],西湖-文三西路,120.108146,30.284528,285,46043,提前预约随时可看,103117760114,3,2室1厅1厨1卫,中楼层 (共7层),61.9㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,无,2021-10-23,商品房,2005-10-13,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,211023NL177112,"
                    此房 中间楼层 采光充足 南北通透 低总价
                  ","
                    本小区为1995年拿地，1996年所建小区，共有楼幢22幢，其中8幢、19幢为沿街商铺。小区内楼盘多为7层板楼，公摊小，实际使用面积较大。该小区物业为新峰物业有限公司，物业管理良好，每天都有保安巡逻，小区内有324个停车位，停车费100元月，包年1000元年
                  ","
                    本小区地处城西繁华地段，交通便利，配套成熟，物业完善。小区门口1000米内有工商银行、农业银行、交通银行、建设银行等。本小区距离浙江绿城医院600米左右，距离西城广场700米左右，内有物美市。距离小区900米内有骆家庄农贸市场和竟舟路农贸市场等
                  ",,"
                    
本小区外围分布有康乐新村站、桂花城站、文三西路古墩路口站等众多公交站，公交线线路有17路、41路、179路、290路、900路、203夜线等，方便您的出行和上下班。
                  ",,,,,,,,,,
8,['求是村'],西湖-黄龙,120.135363,30.269007,429,75000,提前预约随时可看,103117767037,1,2室1厅1厨1卫,低楼层 (共5层),57.2㎡,平层,暂无数据,板塔结合,南 北,砖混结构,简装,一梯十户,无,2021-10-23,商品房,1990-04-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,211026KT458511,"
                    此房满五唯一，户型方正，诚心出售，适合老人小孩居住。
                  ","
                    
求是村，浙大求是物业，小区有75幢房子组成，房龄从1988-2007年；小区环境安静，菜场和旅游景区。老和山景区，宝石山景区和西湖景区给小区创造了得天独厚的自然环境；浙江大学浓厚的文化底蕴，为莘莘学子创造良好的学习环境。
                  ","
                    此房人文环境好，配套齐全，有东山弄菜场、植物园，适合家有老人小孩居住。
                  ","
                    生活：东山弄菜场，浙大chao市和黄龙沃尔玛；交通：浙大玉泉校区公交站，玉古路公交站和曙光新村公交站；娱乐：黄龙体育馆，包玉刚游泳馆和城经纶体校；景点：黄龙洞，宝石山，老和山植物园，浙大玉泉，西湖美景（曲院风荷，花圃，杨公堤，北山街等
                  ","
                    玉古路求是路口】15路;79路;89路;101路;118路;194路;197路;假日游6线jy6；【浙大公交站】16路;21路;28路;52路;82路;87路;89路;103路;103路区间;103路夜间线;117医院临时线;194路;228路;318路;318路区间;807路;假日游6线jy6路
                  ",,,,,,,,,,
9,['西溪诚园致诚苑'],西湖-西溪,120.085356,30.298484,678,77099,提前预约随时可看,103117755884,13,3室2厅1厨1卫,中楼层 (共14层),87.94㎡,平层,暂无数据,板楼,南 北,框架结构,精装,两梯两户,有,2021-10-22,商品房,2016-10-11,普通住宅,满五年,非共有,"
                                有抵押 199万元
                              ",已上传房本照片,211021BX055230,"
                    此房满五 绿城物业 地铁口 精装修 配套完善
                  ","
                    西溪诚园是绿城地产开发的高品质住宅社区，小区西至崇仁路，东到紫金港路，南临文一西路，北靠余杭塘路，隶属于西湖区蒋村街道管辖，总共建成五期，依次是知敬苑、明礼苑、守纯苑、正信苑、致诚苑，每一期都自带泳池与大花园；小区由绿城物业管理
                  ","
                    此房老少皆宜 环境舒适适合养老人群 交通方便适合刚需人群 配套完善适合刚改人群 无论是投 资还是自住 都是不错的选择


                  ","
                    此房为商品房 房屋性质满五唯一 增值税：无 个税：无 契税：首套二套都是1%
                  ","
                    500米范围内有文一西路、余杭塘路、紫金港路等交通主干道，文二西路、花蒋路等主干道距离小区大约1公里，驱车前往市区、未来科技城、老余杭、临平、之江、滨江等区域，都是很方便的；148路、145路、199路、311路、1303路等公交线路从小区经过，公交出行很
                  ",,,,,,"
                    小区的各项配套日渐成熟，目前五期致诚苑西侧的西溪银泰城已经开始营业，余杭塘路往东大约2公里有五洲国际广场、古墩路印象城等大型商场；西溪湿地北门距离小区大约2公里，是一个日常休闲、游玩的好去处；绿城医院距离小区大约3公里，医疗配套完善。
                  ",,,,
