,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,小区介绍,周边配套,户型介绍,税费解析,适宜人群,别墅类型,用水类型,用电类型,装修描述,燃气价格,售房详情,交通出行,权属抵押
0,['雅居乐国际花园'],余杭-闲林,119.985905,30.237546,290,32475,提前预约随时可看,103117736292,8,3室1厅1厨2卫,中楼层 (共34层),89.3㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯六户,有,2021-10-21,商品房,2019-04-03,普通住宅,满两年,非共有,"
                                有抵押 200万元 浙商银行股份有限公司
                              ",已上传房本照片,210513JY549826,"
                    
全新精装修，户型南北通，诚心卖，中上楼，视野采光棒
                  ","
                    
小区是4000户大型社区，环境好 绿化高 人车分流 小区封闭式管理 24小时安保 安全舒适 生活配套齐全，带电梯 自带美食街 ，雅居乐国际花园位于天目山西路闲富路口，雄踞未来科技城南，闲富路直达未来科技城区，天目山西路直通武林商圈，地段交通优渥。
                  ","
                    
小区自带步行街配套，南门有闲林卫生院，北门出口有公交站，配套欢乐城.乐天城.西溪印象城. 西溪湿地.浙一医院等
                  ","
                    
小区位于天目山西路 闲富路交叉口 交通便利 往西3公里就是杭徽高速入口 往东5公里就是绕城高速入口 畅达城市各个区域 小区南北门出入口 各有公交线路经过 B4直达杭州东站 346/367直达市区。 交通主干道东西向有天目山西路 南北向有闲富路 运溪路。
                  ",,,,,,,,,,,
1,['万科北宸之光二期'],余杭-万达广场,120.129035,30.349281,355,40642,提前预约随时可看,103117704896,10,3室1厅1厨1卫,低楼层 (共28层),87.35㎡,平层,暂无数据,板楼,东,钢混结构,精装,三梯四户,有,2021-10-19,商品房,2017-03-21,普通住宅,满两年,非共有,"
                                有抵押 200万元 浙商银行 业主自还
                              ",已上传房本照片,210606ST509865,"
                    房东换房急卖，看房有钥匙，价格可以谈，房子保养得很新
                  ","
                    万科城北大作，是万科2013年上市新品及整个版块中体量大的住区。运河新城。住区内建有约8000㎡宸天地街区，打造出一个大体量的住宅体验本房是2015年的次新房，万科精心打造的楼盘
                  ","
                    北城天地，世纪联华，欧尚购物广场，万达广场，西田城购物 ：运河天地，运河文化广场 ，医院：第二人民医院
                  ","
                    
地铁4、10号线，中和/上塘高架勾运路出口600米，留石快速路488路：好运路冯家浜路口站,东吴路通运路口站,通运路杭行路口站191路：谢家塘站,姚家浜站65路：谢家塘站,姚家浜站76路：运河广告产业园站91路：祥运路公交站47路：亭子头站,运河广告产业园站
                  ",,,,,,,,,,,
2,['亲亲家园一期'],余杭-三墩,120.096387,30.341672,420,33940,提前预约随时可看,103117716650,10,3室2厅1厨2卫,高楼层 (共9层),123.75㎡,平层,107.02㎡,板楼,南,钢混结构,精装,两梯两户,有,2021-10-19,商品房,2011-08-22,普通住宅,满五年,共有,"
                                有抵押 138万元 花旗银行 业主自还
                              ",已上传房本照片,210620NC171583,"
                    此房是满五唯一的，电梯三房户型方正，南北双阳台通风性很好！！
                  ","
                    亲亲家园位于三墩板块，本土坤和地产开发引用广州的中奥物业，小区自带生活广场及时解决平时的柴米油盐问题，小区绿化丰富，有自己的泳池、篮球场、网球场和地下停车库，物业费也经济实惠多层1.45每平，电梯房1.95每平！
                  ","
                    生活配套：金地广场（地铁2号线金家渡B口）、西田城、303生活广场
医疗配套：浙江医院三墩院区（三甲）
菜场配套：金家渡农贸市场
                  ","
                    开车主干道：古墩路（南至城西银泰，北至良渚新城）、莫干山路（南至武林门西湖）
地铁交通：地铁2号线（金家渡路站、墩祥街站）

                  ",,,,,,,,,,,
3,['北大资源未名府'],余杭-未来科技城,120.04652104485,30.300095875491,520,58251,有租户需预约,103117816644,6,3室2厅1厨2卫,中楼层 (共11层),89.27㎡,平层,73.42㎡,板楼,南,钢混结构,简装,一梯两户,有,2021-10-27,商品房,2019-04-15,普通住宅,满两年,共有,"
                                有抵押 96万元 兴业银行 客户偿还
                              ",已上传房本照片,200725YO510293,"
                    此房南北格局，楼层好 视野开阔 采光充足，一线沿河观景，
                  ","
                    房龄新，楼层高无遮挡，两开间朝南客厅带阳台主卧有飘窗，卫生间厨房全明户型
                  ",,"
                    此房不满五年，增值税5.3%，契税1%，个税1%，具体以实际成交价为准 
                  ","
                    北大资源未名府坐落于杭州未来科技城接近主城区龙头位置，地铁五号线五常站旁，小区自带综合体，绿化环境非好，配有儿童乐园，晨跑跑道。浙大，杭师大，西湖大学三所高等学府和火车西站，汽车西站。西溪印象城，龙湖天街，海港城
                  ","
                    小区东门出去200米就是五常地铁口，300米是公交车站1300M路;1301M路;2412M路
                  ",,,,,,,,,
4,['万科星空'],余杭-未来科技城,120.032399,30.29603,692,61864,提前预约随时可看,103117801195,7,3室2厅1厨2卫,低楼层 (共11层),111.86㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,2021-10-26,商品房,2019-08-09,普通住宅,满两年,共有,"
                                有抵押 217万元 招商银行股份有限公司杭州分行
                              ",已上传房本照片,200720MY894793,"
                    万科品质 近地铁 业主诚心出售 户型方正
                  ","
                    此方是大三房格局，三室两厅两卫，万科精装修，楼层好，采光充足，家具配置齐全
                  ",,"
                    门口就是地铁5号线永福站，从城西出发，沿文一西路向西行驶，至常二路右转，行驶约840左转，进入向往街，行驶约110米即可到达项目现场。
                  ","
                    
房子不满五年：契税首套1%，二套1.5%，个税总价1%，增值税总价5.3%，具体以实际成交价为准
                  ","
                    
小区往北边是杭师大，东北面移动研发总部，5公里内商场配套西溪银泰，龙湖西溪天街，西溪印象城，海港城，亲橙里，欧美金融城商场综合体东边是杭师大海曙小，海曙幼儿园等学配套
                  ",,,,,,,,,
5,['协安蓝郡'],余杭-三墩,120.092205,30.346307,485,38511,提前预约随时可看,103117850700,3,3室1厅1厨2卫,中楼层 (共12层),125.94㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,2021-10-29,商品房,2017-03-15,普通住宅,满两年,共有,"
                                有抵押 113万元 杭州银行 业主自还
                              ",已上传房本照片,200916NP442571,"
                    得房率比较大，可配和满五年， 精装40多万 保养的很好，随时可看
                  ","
                    协安蓝郡居杭州城西品质住区之新兴板块，其西临古墩路，南依金昌路，北侧为浙江交通职业技术学院，东为规划河道，以20万方的建筑体量圈定城西大型品质生活区


                  ","
                    从小区出来过个马路就是大型购物商城金地广场，购物餐饮等等都很方便。银行有工商银行、余杭农村银行、杭州联合银行、中信银行、中国建设银行等


                  ","
                    小区出门就是地铁二号线金家渡站A口还有一个在造四号线，双地体口。公交389站点是铭雅苑站，快速公交站点是铭雅苑站，可直达市民之家，b支8路站点也是铭雅苑站，直达三墩镇，出行很方便


                  ",,,,,,,,,,,
6,['亲亲家园三期'],余杭-三墩,120.092303,30.340056,458,32631,提前预约随时可看,103117584656,13,3室2厅1厨2卫,低楼层 (共17层),140.36㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,2021-10-11,商品房,2016-11-14,普通住宅,满两年,共有,"
                                有抵押 43万元
                              ",已上传房本照片,211011EO257366,"
                    此房房东诚心出售，精装修，采光无遮挡
                  ","
                    此房所在小区是2008年建造的商品房社区，小区内部是人车分流，环境贴近大自然，物业是中奥物业公司，每天都有保安巡逻，安全舒适，小区内车位都在地下车库，车子不会进入小区行驶，所以此小区会很安静，住的舒服
                  ","
                    
此房位置繁华，配套齐全，出了小区门口沿古墩路就是世纪联华和中式快餐顺旺基，沿古墩路往北2000米左右就是大型购物商场永旺梦乐城，购物、娱乐、美食集于一体
                  ","
                    
小区门口就是公交车站亲亲家园站（快速公交金家渡路西口站），B2、B支1、389、B支8等线路。交通十分方便，紧靠地铁口二号线金家渡路站和墩祥街站
                  ",,,,,,,,,,,
7,['新时代城市家园'],余杭-闲林,119.989016,30.231991,335,23805,提前预约随时可看,103117611479,5,4室1厅1厨2卫,中楼层 (共25层),140.73㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯三户,有,2021-10-12,商品房,2019-01-24,普通住宅,满两年,非共有,"
                                有抵押 150万元
                              ",已上传房本照片,180707510220,"
                    
绿城物业，繁华地段，交通方便，采光视野好，诚心出售
                  ","
                    
该小区为次新小区 2017年年初交付 绿城物业 小区南门门岗也有监控以及保安 旁边闲林幼儿园小 学初中700米
                  ","
                    距离该小区600米。闲林老街，方家山公园，500米闲林菜市场，白洋畈幼儿园。小区楼下大型C市，肯德基，巴马美容，天猫C市，舞蹈培训，晚托等
                  ","
                    
小区出门约100米公交有356.506、B4c,路线直接到达汽车西站，古荡，武林广场。火车东站
                  ",,,,,,,,,,,
8,['雅居乐国际花园'],余杭-闲林,119.985905,30.237546,350,25411,提前预约随时可看,103117528690,20,4室2厅1厨2卫,低楼层 (共32层),137.74㎡,平层,107.83㎡,板楼,南 北,钢混结构,精装,两梯四户,有,2021-10-07,商品房,2019-08-26,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,190827832428,"
                    雅居乐业主自住精装4居室 3开间朝南 南北通透 小区中间位置
                  ","
                    小区是4000户大型社区，环境好 绿化高 人车分流 小区封闭式管理 24小时安保 安全舒适 生活配套齐全，带电梯 自带美食街 ，雅居乐国际花园位于天目山西路闲富路口，雄踞未来科技城南，闲富路直达未来科技城区，天目山西路直通武林商圈，地段交通优渥。
                  ","
                    小区出门就是白洋畈公立幼儿园，小区楼下就是各类商店，生活所需一应俱全，夜间也十分繁华。还有闲林老街、七彩小镇等商场，十分便利！
                  ","
                    小区位于天目山西路 闲富路交叉口 交通便利 往西3公里就是杭徽高速入口 往东5公里就是绕城高速入口 畅达城市各个区域 小区南北门出入口 各有公交线路经过 B4直达杭州东站 346/367直达市区。 交通主干道东西向有天目山西路 南北向有闲富路 运溪路。
                  ",,,,,,,,,,,
9,['大华海派风景'],余杭-万达广场,120.12838027089,30.351641198043,350,40779,提前预约随时可看,103117473064,3,3室1厅1厨1卫,中楼层 (共18层),85.83㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,2021-10-03,商品房,2016-10-01,普通住宅,满五年,共有,"
                                有抵押 90万元
                              ",已上传房本照片,211003QR658161,"
                    采光好 ，楼层佳，得房率高 没有双税
                  ","
                    
开发商：杭州华江房地产开发有限公司 物业：万科物业管理。 小区总14幢高层 总1232户小区绿植覆盖率高，有泳池 户型优势：房间可利用面积大！
                  ","
                    
教育：杭运幼儿园、良渚通运幼儿园医疗：杭州市第二人民医院、杭州市拱墅区中西医结合医院、杭州市余杭区良渚医院商场：迪凯运河印象综合体、万达广场、西田城
                  ","
                    出行便利，出门自驾200米上塘高架入口；公交站：陡门桥北（公交站），191路、65路 ；徐昌坝（公交站），488路、65路、65路（大站车）、191路；社区微公交1204。
                  ",,,,,,,,,,,
